sl,year,country,text
1,1992,Mali,PREAMBLE
2,1992,Mali,"The sovereign people of Mali, strong from their traditions of heroic struggle, pledge to remain faithful to the ideals of the victims of repression and the fallen martyrs of the battlefield for the rise of a state of law and pluralist democracy,"
3,1992,Mali,"affirm their volition to preserve and reinforce the democratic gains of the Revolution of March 26, 1991,"
4,1992,Mali,"solemnly undertake to defend the republican and secular form of the state,"
5,1992,Mali,"proclaim their determination to defend the rights of women and children as well as the cultural and linguistic diversity of the national community,"
6,1992,Mali,"reaffirm their determination to maintain and consolidate the national unity,"
7,1992,Mali,"undertake to assure the improvement of the quality of life, the protection of the environment and the cultural patrimony,"
8,1992,Mali,"subscribe to the Universal Declaration of the Rights of Man of December 10, 1948and to the African Charter of the Rights of Man and People of June 27, 1981,"
9,1992,Mali,"reaffirm their attachment to the realization of African Unity, to the promotion of peace, regional and international cooperation, to the peaceful resolution of differences between states in deference to justice, equality, liberty and the sovereignty of the people."
10,1992,Mali,TITLE I. THE RIGHTS AND OBLIGATIONS OF THE HUMAN PERSON
11,1992,Mali,ARTICLE 1
12,1992,Mali,The human person shall be sacred and inviolable.
13,1992,Mali,"Every individual shall have the right to the life, to the liberty, to the security and to the integrity of his person."
14,1992,Mali,ARTICLE 2
15,1992,Mali,"Every Malian shall be born and remain free and equal in rights and obligations. All discrimination founded on social origin, color, language, race, sex, religion and political opinion shall be prohibited."
16,1992,Mali,ARTICLE 3
17,1992,Mali,"No one shall be submitted to torture, nor to inhuman, cruel, degrading or humiliating treatment or brutality (especially from one under who's protection one falls)."
18,1992,Mali,"Every individual, every agent of the state who by his actions is culpable of such acts, whether of his own initiative, or by instruction, shall be punished in conformity with the law."
19,1992,Mali,ARTICLE 4
20,1992,Mali,"Every person shall have the right to freedom of thought, conscience, religion, cult, opinion, expression and creation within the law."
21,1992,Mali,ARTICLE 5
22,1992,Mali,"The State recognizes and guarantees, within the conditions determined by law, the freedom to come and go, the free choice of residence, freedom of association, to assemble, to have a following and to demonstrate."
23,1992,Mali,ARTICLE 6
24,1992,Mali,"The domicile, domain (people and things), private and family life, secrecy of correspondence and communication shall be inviolable."
25,1992,Mali,These areas shall only be touched within conditions preordained by the law.
26,1992,Mali,ARTICLE 7
27,1992,Mali,Freedom of the press shall be recognized and guaranteed.
28,1992,Mali,It shall be exercised within conditions determined by law.
29,1992,Mali,Equal access for all to the State media shall be assured by an independent organ who's regulations shall be established by an organic law.
30,1992,Mali,ARTICLE 8
31,1992,Mali,Freedom of artistic and cultural creation shall be recognized and guaranteed.
32,1992,Mali,It shall be exercised within conditions established by the law.
33,1992,Mali,ARTICLE 9
34,1992,Mali,Punishment shall be personal.
35,1992,Mali,"No one shall be pursued, arrested or accused except by virtue of a law promulgated anterior to the acts for which he is reproached."
36,1992,Mali,The accused shall be presumed innocent until his culpability is determined by the competent jurisdiction.
37,1992,Mali,The right to a defense shall encompass the assistance of the advocate of the defendant's choice after the preliminary investigation.
38,1992,Mali,ARTICLE 10
39,1992,Mali,Every person detained shall have the right to examination by the doctor of his choice.
40,1992,Mali,No one shall be detained for a period of more than forty eight hours except by justifiable decision of a Magistrate of the judicial order.
41,1992,Mali,No one shall be detained in a penal institution except by mandate delivered by a Magistrate of the judicial order.
42,1992,Mali,ARTICLE 11
43,1992,Mali,Everything not prohibited by law shall not be hindered and no one shall be forced to do that which it (the law) does not order.
44,1992,Mali,ARTICLE 12
45,1992,Mali,No one shall be forced into exile.
46,1992,Mali,"Every person persecuted by reason of his political or religious convictions, (or) by his ethnicity, may benefit from the right of asylum in the Republic of Mali."
47,1992,Mali,ARTICLE 13
48,1992,Mali,The right of property shall be guaranteed. None shall be expropriated except for public use and then only against a just and prearranged indemnification.
49,1992,Mali,ARTICLE 14
50,1992,Mali,Entrepreneurial freedom shall be guaranteed within the limits of the law and regulations then in force.
51,1992,Mali,ARTICLE 15
52,1992,Mali,"Every person shall have the right to a healthy environment. The protection, defense and promotion of the environment shall be obligations for all and for the State."
53,1992,Mali,ARTICLE 16
54,1992,Mali,"In the case of a declared national calamity, every citizen shall be obligated to comport his actions within the limits of the legislation then in force."
55,1992,Mali,ARTICLE 17
56,1992,Mali,"Education, instruction, formation, work, housing, leisure, health, and social protection shall constitute recognized rights."
57,1992,Mali,ARTICLE 18
58,1992,Mali,"Every citizen shall have the right to education. Public education shall be obligatory, free and secular. Private education shall be recognized and exercised within the conditions specified by law."
59,1992,Mali,ARTICLE 19
60,1992,Mali,"The right to work and to rest shall be recognized and shall be equal for all. Work shall be an obligation for every citizen but no one shall be forced into specific occupation except in the case of accomplishment of an exceptional service of a general (public) interest, equal for all within the conditions determined by law."
61,1992,Mali,ARTICLE 20
62,1992,Mali,The freedom of syndication shall be guaranteed. The syndicates exercise their activities without interference and without limits except those preordained by law.
63,1992,Mali,ARTICLE 21
64,1992,Mali,The right to strike shall be guaranteed. It shall be exercised within the limits of the laws and regulations then in force.
65,1992,Mali,ARTICLE 22
66,1992,Mali,Defense of the homeland is an obligation of every citizen.
67,1992,Mali,ARTICLE 23
68,1992,Mali,Every citizen shall work for the common good. He shall fulfill all of his civic obligations and notably fulfill his obligations of fiscal contribution.
69,1992,Mali,ARTICLE 24
70,1992,Mali,"Every citizen, every person living within the Malian territory shall have the obligation to respect the Constitution in all circumstances."
71,1992,Mali,TITLE II. THE STATE AND SOVEREIGNTY
72,1992,Mali,ARTICLE 25
73,1992,Mali,"Mali shall be an independent, sovereign, indivisible, democratic, secular and social Republic."
74,1992,Mali,"Its principle is a government of the People, by the People and for the People."
75,1992,Mali,The institutions of the Republic are:
76,1992,Mali,the President of the Republic;
77,1992,Mali,the Government;
78,1992,Mali,the National Assembly;
79,1992,Mali,the Supreme Court;
80,1992,Mali,the Constitutional Court;
81,1992,Mali,the High Court of Justice;
82,1992,Mali,the High Council of Territorial Units ;
83,1992,Mali,"the Economic, Social and Cultural Council."
84,1992,Mali,"The national emblem is composed of three equal vertical bands of green, gold and red."
85,1992,Mali,"The motto of the Republic is ""ONE PEOPLE - ONE GOAL - ONE FAITH""."
86,1992,Mali,"The national hymn is ""LE MALI""."
87,1992,Mali,Law shall determine the seal and arms of the Republic.
88,1992,Mali,French is the official language of expression.
89,1992,Mali,Law shall establish the method of promotion and officialisation of the national languages.
90,1992,Mali,ARTICLE 26
91,1992,Mali,The national sovereignty shall belong to the people as a whole who shall exercise it by their representatives or by means of referendum.
92,1992,Mali,ARTICLE 27
93,1992,Mali,"Suffrage shall be universal, equal and secret."
94,1992,Mali,"Electors shall be, within the conditions determined by law, every citizen of voting age, possessing their civic and political rights."
95,1992,Mali,ARTICLE 28
96,1992,Mali,Parties shall comply with the expression of suffrage. They shall form and exercise freely their activities within the conditions determined by law.
97,1992,Mali,"They shall respect the principles of national sovereignty, democracy, territorial integrity, national unity and the secularity of the State."
98,1992,Mali,TITLE III. THE PRESIDENT OF THE REPUBLIC
99,1992,Mali,ARTICLE 29
100,1992,Mali,The President of the Republic shall be the Chief of State.
101,1992,Mali,"He shall be the guardian of the Constitution. He shall incarnate the national unity. He shall be the guarantor of national independence, territorial integrity, respect of treaties and international agreements. He shall assure the regular function of public powers and the continuity of the State."
102,1992,Mali,ARTICLE 30
103,1992,Mali,The President of the Republic shall be elected for five years by direct universal suffrage and by an absolute majority of the votes cast. If this is not obtained on the first ballot there shall be a second ballot.
104,1992,Mali,He shall be re-eligible only once.
105,1992,Mali,ARTICLE 31
106,1992,Mali,Every candidate for the Presidency of the Republic shall be of native Malian nationality and in possession of all his civic and political rights.
107,1992,Mali,ARTICLE 32
108,1992,Mali,The presidential elections shall be at least twenty one days and not more than forty days before the expiration of the mandate of the current President.
109,1992,Mali,ARTICLE 33
110,1992,Mali,"Law shall determine the procedure, the conditions of eligibility and of presentation of candidates for the presidential elections, of the manner of balloting, of the compilation and proclamation of the results. It shall provide for all dispositions necessary so that the elections are free and regular."
111,1992,Mali,"The President of the Republic shall be elected by an absolute majority of the ballots cast. If this is not obtained on the first ballot, there shall be a second ballot, the second Sunday following. This second ballot shall only be open to the two candidates having gained the greatest number of votes."
112,1992,Mali,"If one of the candidates withdraws, the ballot shall remain open to the candidate coming next in order of the number of votes obtained."
113,1992,Mali,"If within the seven days preceding the date limit of filing the presentation of candidature, one of the persons having, less than thirty days before that date, publicly announced his decision to be a candidate, dies or finds himself impeded, the Constitutional Court may decide the procedure of the election."
114,1992,Mali,"If before the first ballot, one of the candidates dies or finds himself incapacitated, the Constitutional Court shall pronounce the procedure of the election."
115,1992,Mali,"In the case of death or incapacitation of one of the two candidates most favored in the first ballot before any eventual withdrawals, or of one of the two candidates remaining after any such withdrawals, the Constitutional Court shall decide the recommencing of the entire electoral process."
116,1992,Mali,The convocation of electors shall be done by decree taken in the Council of Ministers.
117,1992,Mali,"The Constitutional Court shall control the regularity of these operations, shall decide on contestations, shall proclaim the results of ballots."
118,1992,Mali,ARTICLE 34
119,1992,Mali,"The Presidency of the Republic shall be incompatible with the exercise of any other political function, of any other electoral mandate, of any public employment, of any other professional and lucrative activity."
120,1992,Mali,ARTICLE 35
121,1992,Mali,"During his mandate, the President of the Republic shall not, himself, nor by intermediary, buy or take in bailment anything which belongs to the domain of the State, without prior authorization by the Supreme Court within the conditions determined by law."
122,1992,Mali,He shall not take part either himself nor by intermediary in the purchase of supplies nor in auctions for the administrations or institutions dependant on the State or subject to their control.
123,1992,Mali,ARTICLE 36
