sl,year,country,text
1,1993,Peru,PREAMBLE
2,1993,Peru,
3,1993,Peru,"The Democratic Constituent Congress invoking Almighty God, obeying the mandate of the Peruvian people, and remembering the sacrifice of all the preceding generations of our land, has resolved to enact the following Constitution:"
4,1993,Peru,TITLE I. THE PERSON AND THE SOCIETY
5,1993,Peru,CHAPTER I. FUNDAMENTAL RIGHTS OF THE PERSON
6,1993,Peru,ARTICLE 1
7,1993,Peru,
8,1993,Peru,The defense of the human person and respect for his dignity are the supreme purpose of the society and the State.
9,1993,Peru,ARTICLE 2
10,1993,Peru,
11,1993,Peru,Every person has the right:
12,1993,Peru,"1.To life, his identity, his moral, psychical, and physical integrity, and his free development and well-being. The unborn child is a rights-bearing subject in all cases that benefit him."
13,1993,Peru,"2.To equality before the law. No person shall be discriminated against on the basis of origin, race, sex, language, religion, opinion, economic situation, or any other distinguishing feature."
14,1993,Peru,"3.To freedom of conscience and religion, in an individual or collective manner. No person shall be persecuted on a basis of his ideas or beliefs. There is no crime of opinion. Public exercise of any faith is free, insofar as it does not constitute an offense against morals, or a disturbance of the public order."
15,1993,Peru,"4.To freedom of information, opinion, expression, and dissemination of thought, whether oral, written, or in images, through any medium of social communication, and without previous authorization, censorship, or impediment, under penalty of law."
16,1993,Peru,"Crimes committed by means of books, the press, and any other social media are defined by the Criminal Code and tried in a court of law."
17,1993,Peru,Any action that suspends or closes down any organ of expression or prevents its free circulation constitutes a crime. The rights of information and opinion include those of founding means of communication.
18,1993,Peru,"5.To request, without statement of a cause, information he requires, and to receive it from any public entity within the legal term, at its respective cost."
19,1993,Peru,Exception is hereby made of information affecting personal privacy and that expressly excluded by the law or for reasons of national security.
20,1993,Peru,"Bank secrecy and the confidentiality of tax filings may be lifted by the request of a judge, the Prosecutor General, or a congressional investigative committee, in accordance with the law and provided that such information refers to a case under investigation."
21,1993,Peru,"6.To the assurance that information services, whether computerized or not, whether public or private, will not provide information affecting personal and family privacy."
22,1993,Peru,"7.To his honor and reputation, to personal and family privacy, as well as to his own voice and image."
23,1993,Peru,"Every person affected by inaccurate statements or injured in any social medium has the right to demand free, immediate, and proportionate rectification, other legal liabilities notwithstanding."
24,1993,Peru,"8.To freedom of intellectual, artistic, technical, and scientific creation, as well as to ownership of such creations and to any benefits derived from them. The State promotes access to culture and encourages its development and dissemination."
25,1993,Peru,"9.To the inviolability of his home. No one may enter a dwelling or conduct any investigation or search without authorization from the inhabitant or without a warrant, except in cases of in flagrante delicto or serious threat of the perpetration thereof. Exceptions for reasons of health or serious risk are governed by law."
26,1993,Peru,10.To the secrecy and inviolability of private communications and documents.
27,1993,Peru,"Communications, telecommunications, or any private correspondence may only be opened, seized, intercepted, or tapped by the authority of a warrant issued by a judge and with all the guarantees provided in the law. Any matter unrelated to the circumstances under examination shall be kept secret."
28,1993,Peru,Private documents obtained in violation of this provision have no legal effect.
29,1993,Peru,"Books, receipts, and accounting and administrative documents are subject to inspection or audit by relevant authority in accordance with the law. Any action thus taken may not include removal or seizure, except by a court order."
30,1993,Peru,"11.To choose his place of residence, to move freely throughout the national territory, and to leave the country and return to it, except restrictions for reasons of health or due to a court order, or to the application of the Immigration Act."
31,1993,Peru,"12.To peaceful assembly without arms. Meetings on any premises, whether private or open to the public, do not require prior notification. Meetings held in squares and public thoroughfares require advance notification by the relevant authority, which may prohibit such meetings solely for proved reasons of safety or public health."
32,1993,Peru,"13.To associate and establish foundations and other forms of not-for-profit legal organizations without prior authorization, and in accordance with the law. These organizations may not be dissolved by administrative resolution."
33,1993,Peru,"14.To make contracts for lawful purposes, whenever they do not contravene laws of public order."
34,1993,Peru,"15.To work freely, in accordance with the law."
35,1993,Peru,16.To property and inheritance.
36,1993,Peru,"17.To participate, individually or in association with others, in the political, economic, social, and cultural life of the Nation. Citizens, in accordance with the law, have the right to elect, remove or revoke public authorities, and to legislative initiative, and referendum."
37,1993,Peru,"18.To keep his political, philosophical, religious, or any other type of conviction private, as well as to keep professional secrets."
38,1993,Peru,19.To his ethnic and cultural identity. The State recognizes and protects the ethnic and cultural diversity of the Nation.
39,1993,Peru,Every Peruvian has the right to use his own language before any authority by means of an interpreter. Foreigners enjoy the same right when summoned by any authority.
40,1993,Peru,"20.To submit petitions in writing, individually or collectively, before the competent authority, who is obliged to respond to the interested party also in writing within the legally prescribed term, under penalty of law."
41,1993,Peru,Members of the Armed Forces and the National Police may only exercise their right to petition in an individual manner.
42,1993,Peru,21.To his nationality. No one may be stripped of it. Nor may any person be deprived of the right to obtain or renew his passport inside or outside the territory of the Republic.
43,1993,Peru,"22.To peace, tranquility, enjoyment of leisure time, and rest, as well as to a balanced and appropriate environment for the development of his life."
44,1993,Peru,23.To self-defense.
45,1993,Peru,24.To freedom and personal security. In consequence:
46,1993,Peru,"a.No one is obliged to do what the law does not command, nor prevented from doing what the law does not prohibit."
47,1993,Peru,"b.No restrictions whatsoever to personal freedom shall be permitted, except in cases provided by the law. Slavery, servitude, and traffic in human beings are prohibited in any form."
