sl,year,country,text
1,1963,Singapore,PART I. PRELIMINARY
2,1963,Singapore,1. CITATION
3,1963,Singapore,This Constitution may be cited as the Constitution of the Republic of Singapore.
4,1963,Singapore,2. INTERPRETATION
5,1963,Singapore,"1.In this Constitution, unless it is otherwise provided or the context otherwise requires—"
6,1963,Singapore,"""Cabinet"" means the Cabinet constituted under this Constitution;"
7,1963,Singapore,"""Civil List"" means the provision made under Article 22J for the maintenance of the President;"
8,1963,Singapore,"""citizen of Singapore"" means any person who, under the provisions of this Constitution, has the status of a citizen of Singapore;"
9,1963,Singapore,"""commencement"", used with reference to this Constitution, means 9th August 1965;"
10,1963,Singapore,"""Consolidated Fund"" means the Consolidated Fund established by this Constitution;"
11,1963,Singapore,"""Council of Presidential Advisers"" means the Council of Presidential Advisers constituted under Part VA;"
12,1963,Singapore,"""existing law"" means any law having effect as part of the law of Singapore immediately before the commencement of this Constitution;"
13,1963,Singapore,"""Government"" means the Government of Singapore;"
14,1963,Singapore,"""Judge of the Supreme Court"" means the Chief Justice, a Judge of Appeal or a Judge of the High Court;"
15,1963,Singapore,"""law"" includes written law and any legislation of the United Kingdom or other enactment or instrument whatsoever which is in operation in Singapore and the common law in so far as it is in operation in Singapore and any custom or usage having the force of law in Singapore;"
16,1963,Singapore,"""Legal Service Commission"" means the Legal Service Commission constituted under this Constitution;"
17,1963,Singapore,"""Legislature"" means the Legislature of Singapore;"
18,1963,Singapore,"""Minister"" means a Minister appointed under this Constitution;"
19,1963,Singapore,"""office of profit"" means, subject to clause (5), any whole time office in the public service;"
20,1963,Singapore,"""Parliament"" means the Parliament of Singapore;"
21,1963,Singapore,"""President"" means the President of Singapore elected under this Constitution and includes any person for the time being exercising the functions of the office of President;"
22,1963,Singapore,"""Presidential Elections Committee"" means the Presidential Elections Committee constituted under Article 18;"
23,1963,Singapore,"""Prime Minister"" means the Prime Minister of Singapore appointed under this Constitution;"
24,1963,Singapore,"""public office"" means, subject to clause (5), an office of emolument in the public service;"
25,1963,Singapore,"""public officer"" means the holder of any public office;"
26,1963,Singapore,"""public seal"" means the public seal of Singapore;"
27,1963,Singapore,"""public service"" means service under the Government;"
28,1963,Singapore,"""Public Service Commission"" means the Public Service Commission constituted under this Constitution;"
29,1963,Singapore,"""register of electors"" means any register of electors prepared under the provisions of any written law for the time being in force relating to Parliamentary elections;"
30,1963,Singapore,"""remuneration"", in respect of any public officer, means only the emoluments of that officer, the whole or any part of which count for pension or gratuity in accordance with the provisions of any law relating to the grant of pensions or gratuities in respect of the public service;"
31,1963,Singapore,"""reserves"", in relation to the Government, a statutory board or Government company, means the excess of assets over liabilities of the Government, statutory board or Government company, as the case may be;"
32,1963,Singapore,"""session"" means the sittings of Parliament commencing when it first meets after being constituted, or after its prorogation or dissolution at any time, and terminating when Parliament is prorogued or is dissolved without having been prorogued;"
33,1963,Singapore,"""Singapore"" means the Republic of Singapore;"
34,1963,Singapore,"""sitting"" means a period during which Parliament is sitting continuously without adjournment, including any period during which Parliament is in committee;"
35,1963,Singapore,"""Speaker"" and ""Deputy Speaker"" mean, respectively, the Speaker and a Deputy Speaker of Parliament;"
36,1963,Singapore,"""term of office"", in relation to the Government, means the period—"
37,1963,Singapore,a.commencing on the date the Prime Minister and Ministers first take and subscribe the Oath of Allegiance in accordance with Article 27 after a general election; and
38,1963,Singapore,b.ending after the next general election on the date immediately before the Prime Minister and Ministers first take and subscribe the Oath of Allegiance in accordance with Article 27;
39,1963,Singapore,"""terms of service"", in respect of any officer, includes the remuneration to which that officer is entitled by virtue of his office, and any pension, gratuity or other like allowance payable to or in respect of that officer;"
40,1963,Singapore,"""written law"" means this Constitution and all Acts and Ordinances and subsidiary legislation for the time being in force in Singapore."
41,1963,Singapore,2.Except where this Constitution otherwise provides or where the context otherwise requires—
42,1963,Singapore,a.the person or authority having power to make substantive appointments to any public office may appoint a person to perform the functions of that office during any period when it is vacant or when the holder thereof is unable (whether by reason of absence or infirmity of body or mind or any other cause) to perform those functions;
43,1963,Singapore,b.every appointment to perform the functions of an office made under paragraph (a) shall be made in the same manner as and subject to the same conditions as apply to a substantive appointment to that office;
44,1963,Singapore,c.any reference in this Constitution to the holder of any office by the term designating his office shall be construed as including a reference to any person for the time being lawfully performing the functions of that office; and
45,1963,Singapore,d.any reference in this Constitution to an appointment to any office shall be construed as including a reference to an appointment to perform the functions of that office.
46,1963,Singapore,"3.Where in this Constitution power is conferred on any person or authority to appoint a person to perform the functions of any office if the holder thereof is unable himself to perform its functions, any such appointment shall not be called in question on the ground that the holder of that office was not unable to perform those functions."
47,1963,Singapore,"4.For the purposes of this Constitution, the resignation of a member of any body or the holder of any office constituted by this Constitution that is required to be addressed to any person shall be deemed to have effect from the time that it is received by that person:"
48,1963,Singapore,"Provided that, in the case of a resignation that is required to be addressed to the Speaker, the resignation shall, if the office of Speaker is vacant or the Speaker is absent from Singapore, be deemed to have effect from the time that it is received by a Deputy Speaker on behalf of the Speaker."
49,1963,Singapore,"5.For the purposes of this Constitution, a person shall not be considered as holding a public office or an office of profit by reason of the fact that he is in receipt of any remuneration or allowances (including a pension or other like allowance) in respect of his tenure of the office of President, Prime Minister, Chief Justice, Speaker, Deputy Speaker, Minister, Parliamentary Secretary, Political Secretary, Member of Parliament, Ambassador, High Commissioner or such other office as the President may, from time to time, by order, prescribe*."
50,1963,Singapore,*Offices of Consul-General and Consul have been prescribed by the President — See G.N. No. S 212/72
51,1963,Singapore,6
52,1963,Singapore,"a. Without prejudice to clause (2) when the holder of any public office is on leave of absence pending relinquishment of that office, the person or authority having power to make appointments to that office may appoint another person thereto."
53,1963,Singapore,"b. Where 2 or more persons are holding the same office by reason of an appointment made pursuant to paragraph (a), the person last appointed shall, in respect of any function conferred on the holder of that office, be deemed to be the sole holder of that office."
54,1963,Singapore,"7.Where a person is required by this Constitution to take an oath, he shall be permitted, if he so desires, to comply with that requirement by making an affirmation."
55,1963,Singapore,"8.References in this Constitution to any period shall, so far as the context admits, be construed as including references to a period beginning before the commencement of this Constitution."
56,1963,Singapore,"9.Subject to this Article, the Interpretation Act (Cap. 1) shall apply for the purpose of interpreting this Constitution and otherwise in relation thereto as it applies for the purpose of interpreting and otherwise in relation to any written law within the meaning of that Act."
57,1963,Singapore,"10.Unless the context otherwise requires, any reference in this Constitution to a specified Part, Article or Schedule is a reference to that Part or Article of, or that Schedule to, this Constitution; any reference to a specified chapter, clause, section or paragraph is a reference to that chapter of the Part, that clause of the Article, that section of the Schedule, or that paragraph of the clause or section, in which the reference occurs; and any reference to a group of Articles, sections or divisions of Articles or sections shall be construed as including both the first and the last member of the group referred to."
58,1963,Singapore,PART II. THE REPUBLIC AND THE CONSTITUTION
59,1963,Singapore,3. REPUBLIC OF SINGAPORE
60,1963,Singapore,Singapore shall be a sovereign republic to be known as the Republic of Singapore.
61,1963,Singapore,4. SUPREMACY OF CONSTITUTION
62,1963,Singapore,"This Constitution is the supreme law of the Republic of Singapore and any law enacted by the Legislature after the commencement of this Constitution which is inconsistent with this Constitution shall, to the extent of the inconsistency, be void."
63,1963,Singapore,5. AMENDMENT OF CONSTITUTION
64,1963,Singapore,"1.Subject to this Article and Article 8, the provisions of this Constitution may be amended by a law enacted by the Legislature."
65,1963,Singapore,2.A Bill seeking to amend any provision in this Constitution shall not be passed by Parliament unless it has been supported on Second and Third Readings by the votes of not less than two-thirds of the total number of Members of Parliament (excluding nominated Members).
66,1963,Singapore,2A.Deleted by Act 28 of 2016 wef 01/04/2017.
67,1963,Singapore,"3.In this Article, ""amendment"" includes addition and repeal."
68,1963,Singapore,5A. Repealed by Act 28 of 2016 wef 01/04/2017.
69,1963,Singapore,PART III. PROTECTION OF THE SOVEREIGNTY OF THE REPUBLIC OF SINGAPORE
70,1963,Singapore,6. NO SURRENDER OF SOVEREIGNTY OR RELINQUISHMENT OF CONTROL OVER THE POLICE FORCE OR THE ARMED FORCES EXCEPT BY REFERENDUM
71,1963,Singapore,1.There shall be—
72,1963,Singapore,"a.no surrender or transfer, either wholly or in part, of the sovereignty of the Republic of Singapore as an independent nation, whether by way of merger or incorporation with any other sovereign state or with any Federation, Confederation, country or territory or in any other manner whatsoever; and"
73,1963,Singapore,"b.no relinquishment of control over the Singapore Police Force or the Singapore Armed Forces,"
74,1963,Singapore,"unless such surrender, transfer or relinquishment has been supported, at a national referendum, by not less than two-thirds of the total number of votes cast by the electors registered under the Parliamentary Elections Act (Cap. 218)."
75,1963,Singapore,2.For the purposes of this Article—
76,1963,Singapore,"""Singapore Armed Forces"" means the Singapore Armed Forces raised and maintained under the Singapore Armed Forces Act (Cap. 295), and includes any civil defence force formed under the Civil Defence Act (Cap. 42) and such other force as the President may, by notification in the Gazette, declare to be an armed force for the purposes of this Article;"
77,1963,Singapore,"""Singapore Police Force"" means the Singapore Police Force and the Special Constabulary established under the Police Force Act (Cap. 235) and any Auxiliary Police Force created in accordance with Part IX of that Act, and includes the Vigilante Corps established under the Vigilante Corps Act (Cap. 343) and such other force as the President may, by notification in the Gazette, declare to be a police force for the purposes of this Article."
78,1963,Singapore,7. PARTICIPATION IN CO-OPERATIVE INTERNATIONAL SCHEMES WHICH ARE BENEFICIAL TO SINGAPORE
79,1963,Singapore,"Without in any way derogating from the force and effect of Article 6, nothing in that Article shall be construed as precluding Singapore or any association, body or organisation therein from—"
80,1963,Singapore,"a.participating or co-operating in, or contributing towards, any scheme, venture, project, enterprise or undertaking of whatsoever nature, in conjunction or in concert with any other sovereign state or with any Federation, Confederation, country or countries or any association, body or organisation therein, where such scheme, venture, project, enterprise or undertaking confers, has the effect of conferring or is intended to confer, on Singapore or any association, body or organisation therein, any economic, financial, industrial, social, cultural, educational or other benefit of any kind or is, or appears to be, advantageous in any way to Singapore or any association, body or organisation therein; or"
81,1963,Singapore,"b.entering into any treaty, agreement, contract, pact or other arrangement with any other sovereign state or with any Federation, Confederation, country or countries or any association, body or organisation therein, where such treaty, agreement, contract, pact or arrangement provides for mutual or collective security or any other object or purpose whatsoever which is, or appears to be, beneficial or advantageous to Singapore in any way."
82,1963,Singapore,8. NO AMENDMENT TO THIS PART EXCEPT BY REFERENDUM
83,1963,Singapore,"1.A Bill for making an amendment to this Part shall not be passed by Parliament unless it has been supported, at a national referendum, by not less than two-thirds of the total number of votes cast by the electors registered under the Parliamentary Elections Act (Cap. 218)."
84,1963,Singapore,"2.In this Article, ""amendment"" includes addition and repeal."
