sl,year,country,text
1,1987,Suriname,PREAMBLE
2,1987,Suriname,"WE, THE PEOPLE OF SURINAME,"
3,1987,Suriname,"inspired by the love for this Country and the belief in the power of the Almighty and guided by the centuries-long struggle of our people against colonialism, which was terminated by the establishment of the Republic of Suriname on 25 November 1975,"
4,1987,Suriname,"taking the coup d'ètat of 25 February 1980 and the consequences thereof,"
5,1987,Suriname,"conscious of our duty to combat and to prevent every form of foreign domination,"
6,1987,Suriname,"resolved to defend and protect the national sovereignty, independence and integrity,"
7,1987,Suriname,"assured of the will to determine our economic, social and cultural development in full freedom convinced of our duty to honor and to guarantee the principles of freedom, equality and democracy as well as the fundamental rights and freedoms of man,"
8,1987,Suriname,"inspired by a civic spirit and by the participation in the construction, expansion and maintenance of a society that is socially just,"
9,1987,Suriname,"determined to collaborate with one another and with all peoples of the world on the basis of freedom, equality, peaceful coexistence and international solidarity,"
10,1987,Suriname,"SOLEMNLY DECLARE, TO ACCEPT, AS A RESULT OF THE PLEBISCITE HELD, THE FOLLOWING CONSTITUTION."
11,1987,Suriname,CHAPTER I. SOVEREIGNTY
12,1987,Suriname,FIRST SECTION. THE REPUBLIC OF SURINAME
13,1987,Suriname,ARTICLE 1
14,1987,Suriname,1. The Republic of Suriname is a democratic State based upon the sovereignty of the people and on the respect and guarantee of the fundamental right and liberties.
15,1987,Suriname,2. The Suriname Nation shall determine in full freedom its economic social and cultural development.
16,1987,Suriname,SECOND SECTION. TERRITORY
17,1987,Suriname,ARTICLE 2
18,1987,Suriname,"1. Suriname consists of the territory on the South American continent, which has been defined as such."
19,1987,Suriname,2. The State shall not alienate any territory or sovereign rights which it exercises over that territory.
20,1987,Suriname,3. The extent and boundaries of the territorial waters and the rights of Suriname to the adjacent continental shelf and the economic zone are determined by law.
21,1987,Suriname,THIRD SECTION. NATIONALITY
22,1987,Suriname,ARTICLE 3
23,1987,Suriname,1. Who is a Suriname national and who is a resident shall be decided by law.
24,1987,Suriname,2. Naturalization shall be regulated by law.
25,1987,Suriname,"3. All Suriname citizens are allowed access into Suriname and are free to move about and to reside within Suriname, except in the cases, defined in the law."
26,1987,Suriname,4. All Suriname citizens shall be eligible for appointment to any public office in without discrimination.
27,1987,Suriname,5. The law shall determine in which public offices foreigners can be appointed.
28,1987,Suriname,6. The admission of foreigners and their expulsion shall be regulated by law.
29,1987,Suriname,7. The law shall determine the rules regarding the extradition of foreigners; extradition can only be effected on the basis of a treaty and in the manner determined by law.
30,1987,Suriname,FOURTH SECTION. STATE AND SOCIETY
31,1987,Suriname,ARTICLE 4
32,1987,Suriname,The concern of the State is aimed at:
33,1987,Suriname,a.The construction and maintenance of a national economy free from foreign domination;
34,1987,Suriname,b.A Secured means of livelihood for the entire nation;
35,1987,Suriname,c.Sufficient employment under the guarantee of freedom and justice;
36,1987,Suriname,"d.The sharing of everyone in the economic, social and cultural development and progress;"
37,1987,Suriname,"e.Participation in the sense of citizenship during the construction, the expansion and the maintenance of a just society;"
38,1987,Suriname,f.Guaranteeing national unity and sovereignty.
39,1987,Suriname,CHAPTER II. ECONOMIC GOALS
40,1987,Suriname,ARTICLE 5
41,1987,Suriname,"1. The economic objectives of the Republic of Suriname shall aim at the construction of a national economy, free from foreign domination and in the interest of the Surinamese nation."
42,1987,Suriname,"2. The economic system within which the social-economic development takes place shall be characterized by joint, contemporaneous and equal functioning of state enterprises, private enterprises, enterprises in which the State and private persons participate in common and cooperative enterprises, according to rules of law applicable in that matter."
43,1987,Suriname,3. It is the duty of the State to promote and to guarantee as much as possible all types of entrepreneurial production.
44,1987,Suriname,CHAPTER III. SOCIAL GOALS
45,1987,Suriname,ARTICLE 6
46,1987,Suriname,The social objectives of the State shall aim at:
47,1987,Suriname,a.The identification of the potentialities for development of the own natural environment and the enlarging of the capacities to ever more expand those potentialities;
48,1987,Suriname,"b.Guaranteeing the participation of the community in the political life among other ways through national, regional and sectoral participation;"
49,1987,Suriname,"c.Guaranteeing a government policy aimed at raising the standard of living and of well-being of the society, based upon social justice, the integral and balanced development of State and society;"
50,1987,Suriname,"d.An equitable distribution of the national income, directed towards a fair distribution of well-being and wealth over all strata of the population;"
51,1987,Suriname,e.Regional spreading of public utilities and economic activities;
52,1987,Suriname,"f.The improvement of codetermination by the employees in companies and production units in the taking of decisions about production, economic development and planning;"
53,1987,Suriname,g.Creating and improving the conditions necessary for the protection of nature and for the preservation of the ecological balance.
54,1987,Suriname,CHAPTER IV. INTERNATIONAL PRINCIPLES
55,1987,Suriname,ARTICLE 7
