sl,year,country,text
1,1975,Greece,Greece 1975 (rev. 2008)Subsequently amended 
2,1975,Greece,PREAMBLE
3,1975,Greece,In the name of the Holy and Consubstantial and Indivisible Trinity
4,1975,Greece,PART 1. BASIC PROVISIONS
5,1975,Greece,SECTION I. THE FORM OF GOVERNMENT
6,1975,Greece,   
7,1975,Greece,ARTICLE 1
8,1975,Greece,1. The form of government of Greece is that of a parliamentary republic.
9,1975,Greece,2. Popular sovereignty is the foundation of government.
10,1975,Greece,3. All powers derive from the People and exist for the People and the Nation; they shall be exercised as specified by the Constitution.
11,1975,Greece,ARTICLE 2
12,1975,Greece,   
13,1975,Greece,1. Respect and protection of the value of the human being constitute the primary obligations of the State.
14,1975,Greece,"2. Greece, adhering to the generally recognised rules of international law, pursues the strengthening of peace and of justice, and the fostering of friendly relations between peoples and States."
15,1975,Greece,SECTION II. RELATIONS OF CHURCH AND STATE
16,1975,Greece,   
17,1975,Greece,ARTICLE 3
18,1975,Greece,   
19,1975,Greece,"1. The prevailing religion in Greece is that of the Eastern Orthodox Church of Christ. The Orthodox Church of Greece, acknowledging our Lord Jesus Christ as its head, is inseparably united in doctrine with the Great Church of Christ in Constantinople and with every other Church of Christ of the same doctrine, observing unwaveringly, as they do, the holy apostolic and synodal canons and sacred traditions. It is autocephalous and is administered by the Holy Synod of serving Bishops and the Permanent Holy Synod originating thereof and assembled as specified by the Statutory Charter of the Church in compliance with the provisions of the Patriarchal Tome of June 29, 1850 and the Synodal Act of September 4, 1928."
20,1975,Greece,2. The ecclesiastical regime existing in certain districts of the State shall not be deemed contrary to the provisions of the preceding paragraph.
21,1975,Greece,"3. The text of the Holy Scripture shall be maintained unaltered. Official translation of the text into any other form of language, without prior sanction by the Autocephalous Church of Greece and the Great Church of Christ in Constantinople, is prohibited."
22,1975,Greece,PART 2. INDIVIDUAL AND SOCIAL RIGHTS
23,1975,Greece,ARTICLE 4
24,1975,Greece,1. All Greeks are equal before the law.
25,1975,Greece,2. Greek men and women have equal rights and equal obligations.
26,1975,Greece,"3. All persons possessing the qualifications for citizenship as specified by law are Greek citizens. Withdrawal of Greek citizenship shall be permitted only in case of voluntary acquisition of another citizenship or of undertaking service contrary to national interests in a foreign country, under the conditions and procedures more specifically provided by law."
27,1975,Greece,"4. Only Greek citizens shall be eligible for public service, except as otherwise provided by special laws."
28,1975,Greece,5. Greek citizens contribute without distinction to public charges in proportion to their means.
29,1975,Greece,6. Every Greek capable of bearing arms is obliged to contribute to the defence of the Fatherland as provided by law.
30,1975,Greece,7. Titles of nobility or distinction are neither conferred upon nor recognized in Greek citizens.
31,1975,Greece,INTERPRETATIVE CLAUSE
32,1975,Greece,"The provision of paragraph 6 does not Preclude that the law provides for the mandatory performance of other services, within or outside the armed forces (alternative service), by those having a substantiated conscientious objection to performing armed service or, generally, military duties."
33,1975,Greece,ARTICLE 5
34,1975,Greece,"1. All persons shall have the right to develop freely their personality and to participate in the social, economic and political life of the country, insofar as they do not infringe the rights of others or violate the Constitution and the good usages."
