sl,year,country,text
1,2004,Afghanistan,PREAMBLE
2,2004,Afghanistan,"In the name of Allah, the Most Beneficent, the Most Merciful"
3,2004,Afghanistan,"Praise be to Allah, the Cherisher and Sustainer of Worlds; and Praise and Peace be upon Mohammad, His Last Messenger and his disciples and followers"
4,2004,Afghanistan,We the people of Afghanistan:
5,2004,Afghanistan,"Believing firmly in Almighty God, relying on His divine will and adhering to the Holy religion of Islam;"
6,2004,Afghanistan,"Realizing the previous injustices, miseries and innumerable disasters which have befallen our country;"
7,2004,Afghanistan,"Appreciating the sacrifices, historical struggles, jihad and just resistance of all the peoples of Afghanistan, admiring the supreme position of the martyrs of the country's freedom;"
8,2004,Afghanistan,"Comprehending that a united, indivisible Afghanistan belongs to all its tribes and peoples;"
9,2004,Afghanistan,Observing the United Nations Charter as well as the Universal Declaration of Human Rights;
10,2004,Afghanistan,And in order to:
11,2004,Afghanistan,"Strengthen national unity, safeguard independence, national sovereignty and territorial integrity of the country;"
12,2004,Afghanistan,Establish an order based on the peoples' will and democracy;
13,2004,Afghanistan,"Form a civil society void of oppression, atrocity, discrimination as well as violence, based on rule of law, social justice, protecting integrity and human rights, and attaining peoples' freedoms and fundamental rights;"
14,2004,Afghanistan,"Strengthen political, social, economic as well as defense institutions;"
15,2004,Afghanistan,Attain a prosperous life and sound living environment for all inhabitants of this land;
16,2004,Afghanistan,"And, eventually, regain Afghanistan's appropriate place in the international family;"
17,2004,Afghanistan,"Have, herein, approved this constitution in accordance with the historical, cultural and social realities as well as requirements of time through our elected representatives in the Loya Jirga, dated January 3, 2004, held in the city of Kabul."
18,2004,Afghanistan,CHAPTER I. STATE
19,2004,Afghanistan,ARTICLE 1
20,2004,Afghanistan,"Afghanistan shall be an Islamic Republic, independent, unitary and indivisible state."
21,2004,Afghanistan,ARTICLE 2
22,2004,Afghanistan,The sacred religion of Islam is the religion of the Islamic Republic of Afghanistan. Followers of other faiths shall be free within the bounds of law in the exercise and performance of their religious rituals.
23,2004,Afghanistan,ARTICLE 3
24,2004,Afghanistan,No law shall contravene the tenets and provisions of the holy religion of Islam in Afghanistan.
25,2004,Afghanistan,ARTICLE 4
26,2004,Afghanistan,"National sovereignty in Afghanistan shall belong to the nation, manifested directly and through its elected representatives. The nation of Afghanistan is composed of all individuals who possess the citizenship of Afghanistan. The nation of Afghanistan shall be comprised of Pashtun, Tajik, Hazara, Uzbek, Turkman, Baluch, Pachaie, Nuristani, Aymaq, Arab, Qirghiz, Qizilbash, Gujur, Brahwui and other tribes. The word Afghan shall apply to every citizen of Afghanistan. No individual of the nation of Afghanistan shall be deprived of citizenship. The citizenship and asylum related matters shall be regulated by law."
27,2004,Afghanistan,ARTICLE 5
28,2004,Afghanistan,"Implementing the provisions of this constitution and other laws, defending independence, national sovereignty, territorial integrity and attaining the security and defense capability of the country shall be the fundamental duties of the state."
29,2004,Afghanistan,ARTICLE 6
30,2004,Afghanistan,"The state shall be obligated to create a prosperous and progressive society based on social justice, preservation of human dignity, protection of human rights, realization of democracy, attainment of national unity as well as equality between all peoples and tribes and balance development of all areas of the country."
31,2004,Afghanistan,ARTICLE 7
32,2004,Afghanistan,"The state shall observe the United Nations Charter, interstate agreements, as well as international treaties to which Afghanistan has joined, and the Universal Declaration of Human Rights. The state shall prevent all kinds of terrorist activities, cultivation and smuggling of narcotics, and production and use of intoxicants."
33,2004,Afghanistan,ARTICLE 8
34,2004,Afghanistan,"The state shall regulate the foreign policy of the country on the basis of preserving the independence, national interests and territorial integrity as well as non-interference, good neighborliness, mutual respect and equality of rights."
35,2004,Afghanistan,ARTICLE 9
36,2004,Afghanistan,"Mines and other subterranean resources as well as historical relics shall be the property of the state. Protection, management and proper utilization of public properties as well as natural resources shall be regulated by law."
37,2004,Afghanistan,ARTICLE 10
38,2004,Afghanistan,"The state shall encourage, protect as well as ensure the safety of capital investment and private enterprises in accordance with the provisions of the law and market economy."
39,2004,Afghanistan,ARTICLE 11
40,2004,Afghanistan,Matters related to domestic as well as foreign trade shall be regulated by law in accordance with the economic requirements of the country and public interests.
41,2004,Afghanistan,ARTICLE 12
42,2004,Afghanistan,"The Afghanistan Bank shall be independent and the central bank of the state. Currency issuance as well as formulating and implementing the monetary policy of the country shall be, according to provisions of the law, the authority of the central bank. The central bank shall consult the economic committee of the House of People about printing of money. The organization and operation method of Central Bank shall be regulated by law."
43,2004,Afghanistan,ARTICLE 13
44,2004,Afghanistan,"The state shall design and implement effective programs for developing industries, expanding production as well as protecting activities of craftsmen to raise the standard of living of the people."
45,2004,Afghanistan,ARTICLE 14
46,2004,Afghanistan,"The state, within its financial means, shall design and implement effective programs to develop agriculture and animal husbandry, improve economic, social and living conditions of farmers, herders and settlers as well as the nomads' livelihood. The state shall adopt necessary measures for provision of housing and distribution of public estates to deserving citizens in accordance with the provisions of law and within financial possibilities."
47,2004,Afghanistan,ARTICLE 15
48,2004,Afghanistan,The state shall be obligated to adopt necessary measures to protect and improve forests as well as the living environment.
49,2004,Afghanistan,ARTICLE 16
50,2004,Afghanistan,"From amongst Pashto, Dari, Uzbeki, Turkmani, Baluchi, Pachaie, Nuristani, Pamiri and other current languages in the country, Pashto and Dari shall be the official languages of the state. In areas where the majority of the people speak in any one of Uzbeki, Turkmani, Pachaie, Nuristani, Baluchi or Pamiri languages, any of the aforementioned language, in addition to Pashto and Dari, shall be the third official language, the usage of which shall be regulated by law. The state shall design and apply effective programs to foster and develop all languages of Afghanistan. Usage of all current languages in the country shall be free in press publications and mass media. Academic and national administrative terminology and usage in the country shall be preserved."
51,2004,Afghanistan,ARTICLE 17
52,2004,Afghanistan,"The state shall adopt necessary measures to foster education at all levels, develop religious teachings, regulate and improve the conditions of mosques, religious schools as well as religious centers."
53,2004,Afghanistan,ARTICLE 18
54,2004,Afghanistan,"The source for the calendar year of the country shall be based upon the migration of The Prophet (PBUH). The basis for state offices shall be the solar calendar. Fridays, as well as the 28th of Asad and 8th of Saur, shall be public holidays. Other holidays shall be regulated by law."
55,2004,Afghanistan,ARTICLE 19
56,2004,Afghanistan,"The flag of Afghanistan shall be made up of three equal parts, with black, red and green colors juxtaposed from left to right vertically. The width of every color shall be half of its length, and at the center of which the national insignia shall be located. The national insignia of Afghanistan shall be comprised of an emblem and a pulpit in white color, at the two corners of which are two flags, inscribed in the top middle the holy phrase ""There is no God but Allah and Mohammad is his Prophet, and Allah is Great."" This shall be inscribed and superseded on rays of a rising sun, and in its lower part, the year 1919 in the solar calendar, and the word ""Afghanistan"" encircled on two sides by sheaves of wheat shall be inscribed. The law shall regulate the use of the flag and insignia."
57,2004,Afghanistan,ARTICLE 20
58,2004,Afghanistan,"The national anthem of Afghanistan shall be in Pashto with the mention of ""God is Great"" as well as the names of the tribes of Afghanistan."
59,2004,Afghanistan,ARTICLE 21
60,2004,Afghanistan,The capital of Afghanistan shall be the city of Kabul.
61,2004,Afghanistan,CHAPTER II. FUNDAMENTAL RIGHTS AND DUTIES OF CITIZENS
62,2004,Afghanistan,ARTICLE 22
63,2004,Afghanistan,"Any kind of discrimination and distinction between citizens of Afghanistan shall be forbidden. The citizens of Afghanistan, man and woman, have equal rights and duties before the law."
64,2004,Afghanistan,ARTICLE 23
65,2004,Afghanistan,Life is the gift of God as well as the natural right of human beings. No one shall be deprived of this except by legal provision.
66,2004,Afghanistan,ARTICLE 24
67,2004,Afghanistan,"Liberty is the natural right of human beings. This right has no limits unless affecting others freedoms as well as the public interest, which shall be regulated by law. Liberty and human dignity are inviolable. The state shall respect and protect liberty as well as human dignity."
68,2004,Afghanistan,ARTICLE 25
69,2004,Afghanistan,Innocence is the original state. The accused shall be innocent until proven guilty by the order of an authoritative court.
70,2004,Afghanistan,ARTICLE 26
71,2004,Afghanistan,"Crime is a personal act. Investigation, arrest and detention of an accused as well as penalty execution shall not incriminate another person."
72,2004,Afghanistan,ARTICLE 27
73,2004,Afghanistan,"No deed shall be considered a crime unless ruled by a law promulgated prior to commitment of the offense. No one shall be pursued, arrested, or detained without due process of law. No one shall be punished without the decision of an authoritative court taken in accordance with the provisions of the law, promulgated prior to commitment of the offense."
74,2004,Afghanistan,ARTICLE 28
75,2004,Afghanistan,No citizen of Afghanistan accused of a crime shall be extradited to a foreign state without reciprocal arrangements as well as international treaties to which Afghanistan has joined. No Afghan shall be deprived of citizenship or sentenced to domestic or foreign exile.
76,2004,Afghanistan,ARTICLE 29
77,2004,Afghanistan,"Persecution of human beings shall be forbidden. No one shall be allowed to or order torture, even for discovering the truth from another individual who is under investigation, arrest, detention or has been convicted to be punished. Punishment contrary to human dignity shall be prohibited."
78,2004,Afghanistan,ARTICLE 30
79,2004,Afghanistan,"A statement, confession or testimony obtained from an accused or of another individual by means of compulsion shall be invalid. Confession to a crime is a voluntary admission before an authorized court by an accused in a sound state of mind."
80,2004,Afghanistan,ARTICLE 31
81,2004,Afghanistan,"Upon arrest, or to prove truth, every individual can appoint a defense attorney. Immediately upon arrest, the accused shall have the right to be informed of the nature of the accusation, and appear before the court within the time limit specified by law. In criminal cases, the state shall appoint a defense attorney for the indigent. Confidentiality of conversations, correspondence, and communications between the accused and their attorney shall be secure from any kind of violation. The duties and powers of defense attorneys shall be regulated by law."
82,2004,Afghanistan,ARTICLE 32
83,2004,Afghanistan,Debt shall not curtail or deprive the freedom of the individual. The method and means of recovering debt shall be regulated by law.
84,2004,Afghanistan,ARTICLE 33
85,2004,Afghanistan,The citizens of Afghanistan shall have the right to elect and be elected. The conditions of exercising this right shall be regulated by law.
86,2004,Afghanistan,ARTICLE 34
87,2004,Afghanistan,"Freedom of expression shall be inviolable. Every Afghan shall have the right to express thoughts through speech, writing, illustrations as well as other means in accordance with provisions of this constitution. Every Afghan shall have the right, according to provisions of law, to print and publish on subjects without prior submission to state authorities. Directives related to the press, radio and television as well as publications and other mass media shall be regulated by law."
88,2004,Afghanistan,ARTICLE 35
89,2004,Afghanistan,"To attain moral and material goals, the citizens of Afghanistan shall have the right to form associations in accordance with provisions of the law. The people of Afghanistan shall have the right, in accordance with provisions of the law, to form political parties, provided that:"
90,2004,Afghanistan,1.Their manifesto and charter shall not contravene the Holy religion of Islam and principles and values enshrined in this constitution;
91,2004,Afghanistan,2.Their organizations and financial resources shall be transparent;
92,2004,Afghanistan,3.They shall not have military or quasi-military aims and organizations; and
93,2004,Afghanistan,4.They shall not be affiliated with foreign political parties or other sources.
94,2004,Afghanistan,"Formation and operation of a party on the basis of tribalism, parochialism, language, as well as religious sectarianism shall not be permitted. A party or association formed according to provisions of the law shall not be dissolved without legal causes and the order of an authoritative court."
95,2004,Afghanistan,ARTICLE 36
96,2004,Afghanistan,"The people of Afghanistan shall have the right to gather and hold unarmed demonstrations, in accordance with the law, for attaining legitimate and peaceful purposes."
97,2004,Afghanistan,ARTICLE 37
