sl,year,country,text
1,1920,Austria,ConstituteHOME
2,1920,Austria,"Austria 1920 (reinst. 1945, rev. 2013)Subsequently amended "
3,1920,Austria,CHAPTER I. GENERAL PROVISIONS. EUROPEAN UNION
4,1920,Austria,A. GENERAL PROVISIONS
5,1920,Austria,ART 1
6,1920,Austria,Austria is a democratic republic. Its law emanates from the people.
7,1920,Austria,ART 2
8,1920,Austria,1. Austria is a federal state.
9,1920,Austria,"2. The Federal State is composed of the autonomous Laender of Burgenland, Carinthia, Lower Austria, Upper Austria, Salzburg, Styria, Tirol, Vorarlberg and Vienna."
10,1920,Austria,3. Changes in the composition of the Laender or a restriction of the involvement of the Laender provided for in this para and in Art 3 also require constitutional regulations of the Laender.
11,1920,Austria,ART 3
12,1920,Austria,1. The Federal territory comprises the territories of the Federal Laender.
13,1920,Austria,2. State treaties changing the Federal boundaries may only be concluded with the approval of the Laender affected.
14,1920,Austria,3. Modifications of boundaries within the Federal territory require concurrent laws of the Federation and the Laender affected. Ratifications of boundaries within the Federal territory only require concurrent laws of the Laender affected.
15,1920,Austria,"4. Resolutions of the National Council on modifications of boundaries according to para 2 and 3, to the extent they do not concern retification of boundaries, require at least the votes of half of the members and the majority of two thirds of the votes cast."
16,1920,Austria,ART 4
17,1920,Austria,"1. The Federal territory is a uniform currency, economic and customs area."
18,1920,Austria,2. Intermediate customs barriers or other traffic restrictions may not be established within Federal territory.
19,1920,Austria,ART 5
20,1920,Austria,1. The Federal capital and seat of the highest Federal authorities is Vienna.
21,1920,Austria,"2. For the duration of extraordinary circumstances the Federal President can, at the request of the Federal Government, relocate the seat of the highest Federal authorities to another location in the Federal territory."
22,1920,Austria,ART 6
23,1920,Austria,1. For the Republic of Austria there prevails a uniform nationality.
24,1920,Austria,"2. Nationals are citizens of the Land where they have their principal domicile; Land laws can however stipulate that also nationals who have a domicile, but not their principal domicile, in the Land are citizens of that Land."
25,1920,Austria,"3. A person's principal domicile is established in the place where he has settled with the intention, provable or emerging from the circumstances, of setting up there the centre of his relations of life. If this requirement is, on the basis of an overall consideration of a person's professional, economic and social relations of life, met by more than one domicile, this person has to designate as his principal domicile the one which he has the closest relationship to."
