sl,year,country,text
1,2008,Bhutan,
2,2008,Bhutan,PREAMBLE
3,2008,Bhutan,   
4,2008,Bhutan,"WE, the people of Bhutan:"
5,2008,Bhutan,"BLESSED by the Triple Gem, the protection of our guardian deities, the wisdom of our leaders, the everlasting fortunes of the Pelden Drukpa and the guidance of His Majesty the Druk Gyalpo Jigme Khesar Namgyel Wangchuck;"
6,2008,Bhutan,"SOLEMNLY pledging ourselves to strengthen the sovereignty of Bhutan, to secure the blessings of liberty, to ensure justice and tranquility and to enhance the unity, happiness and well-being of the people for all time;"
7,2008,Bhutan,"DO HEREBY ordain and adopt this Constitution for the Kingdom of Bhutan on the Fifteenth Day of the Fifth Month of the Male Earth Rat Year corresponding to the Eighteenth Day of July, Two Thousand and Eight."
8,2008,Bhutan,ARTICLE 1. KINGDOM OF BHUTAN
9,2008,Bhutan,1. Bhutan is a Sovereign Kingdom and the Sovereign power belongs to the people of Bhutan.
10,2008,Bhutan,2. The form of Government shall be that of a Democratic Constitutional Monarchy.
11,2008,Bhutan,3. The international territorial boundary of Bhutan is inviolable and any alteration of areas and boundaries thereof shall be done only with the consent of not less than three-fourths of the total number of members of Parliament.
12,2008,Bhutan,4. The territory of Bhutan shall comprise twenty Dzongkhags with each Dzongkhag consisting of Gewogs and Thromdes. Alteration of areas and boundaries of any Dzongkhag or Gewog shall be done only with the consent of not less than three-fourths of the total number of members of Parliament.
13,2008,Bhutan,5. The National Flag and the National Emblem of Bhutan shall be as specified in the First Schedule of this Constitution.
14,2008,Bhutan,6. The National Anthem of Bhutan shall be as specified in the Second Schedule of this Constitution.
15,2008,Bhutan,7. The National Day of Bhutan shall be the Seventeenth Day of December of each year.
16,2008,Bhutan,8. Dzongkha is the National Language of Bhutan.
17,2008,Bhutan,9. This Constitution is the Supreme Law of the State.
18,2008,Bhutan,"10. All laws in force in the territory of Bhutan at the time of adopting this Constitution shall continue until altered, repealed or amended by Parliament. However, the provisions of any law, whether made before or after the coming into force of this Constitution, which are inconsistent with this Constitution, shall be null and void."
19,2008,Bhutan,11. The Supreme Court shall be the guardian of this Constitution and the final authority on its interpretation.
20,2008,Bhutan,"12. The rights over mineral resources, rivers, lakes and forests shall vest in the State and are the properties of the State, which shall be regulated by law."
21,2008,Bhutan,"13. There shall be separation of the Executive, the Legislature and the Judiciary and no encroachment of each other's powers is permissible except to the extent provided for by this Constitution."
22,2008,Bhutan,ARTICLE 2. THE INSTITUTION OF MONARCHY
23,2008,Bhutan,1. His Majesty the Druk Gyalpo is the Head of State and the symbol of unity of the Kingdom and of the people of Bhutan.
24,2008,Bhutan,"2. The Chhoe-sid-nyi of Bhutan shall be unified in the person of the Druk Gyalpo who, as a Buddhist, shall be the upholder of the Chhoe-sid."
