sl,year,country,text
1,2011,Morocco,PREAMBLE
2,2011,Morocco,"With fidelity to its irreversible choice to construct a democratic State of Law, the Kingdom of Morocco resolutely pursues the process of consolidation and of reinforcement of the institutions of a modern State, having as its bases the principles of participation, of pluralism and of good governance. It develops a society of solidarity where all enjoy security, liberty, equality of opportunities, of respect for their dignity and for social justice, within the framework of the principle of correlation between the rights and the duties of the citizenry."
3,2011,Morocco,"A sovereign Muslim State, attached to its national unity and to its territorial integrity, the Kingdom of Morocco intends to preserve, in its plentitude and its diversity, its one and indivisible national identity. Its unity, is forged by the convergence of its Arab-Islamist, Berber [amazighe] and Saharan-Hassanic [saharo-hassanie] components, nourished and enriched by its African, Andalusian, Hebraic and Mediterranean influences [affluents]. The preeminence accorded to the Muslim religion in the national reference is consistent with [va de pair] the attachment of the Moroccan people to the values of openness, of moderation, of tolerance and of dialog for mutual understanding between all the cultures and the civilizations of the world."
4,2011,Morocco,"Considering the imperative to reinforce the role which belongs to it on the international scene, the Kingdom of Morocco, active member within the international organizations, is committed to subscribe to the principles, rights and obligations enounced in their respective charters and conventions; it affirms its attachment to the Rights of Man such as they are universally recognized, as well as its will to continue to work to preserve peace and security in the world."
5,2011,Morocco,"Founded on these values and these immutable principles, and strong in its firm will to reaffirm the bonds of fraternity, or cooperation, or solidarity and of constructive partnership with all other States, and to work for common progress, the Kingdom of Morocco, [a] united State, totally sovereign, belonging the Grand Maghreb, reaffirms that which follows and commits itself:"
6,2011,Morocco,"To work for the construction of the Union of the Maghreb, as [a] strategic option;"
7,2011,Morocco,"To deepen the bonds of togetherness with the Arab and Islamist Ummah [Oumma], and to reinforce the bonds of fraternity and of solidarity with its brother peoples;"
8,2011,Morocco,"To consolidate relations of cooperation and of solidarity with the peoples and the countries of Africa, notably the sub-Saharan countries and the [countries] of the Sahel;"
9,2011,Morocco,"To intensify relations of cooperation, of rapprochement and of partnership with neighboring Euro-Mediterranean countries;"
10,2011,Morocco,"To enlarge and to diversify its relations of amity and of its rapport with human, economic, scientific, technical and cultural exchange with the countries of the world;"
11,2011,Morocco,To reinforce South-South cooperation [cooperation Sud-Sud];
12,2011,Morocco,To protect and to promote the mechanisms [dispositifs] of the Rights of Man and of international humanitarian law and to contribute to their development within their indivisibility and their universality;
13,2011,Morocco,"To ban and combat all discrimination whenever it encounters it, for reason of sex, or color, of beliefs, of culture, of social or regional origin, of language, of handicap or whatever personal circumstance that may be;"
14,2011,Morocco,"To comply with [accorder] the international conventions duly ratified by it, within the framework of the provisions of the Constitution and of the laws of the Kingdom, within respect for its immutable national identity, and on the publication of these conventions, [their] primacy over the internal law of the country, and to harmonize in consequence the pertinent provisions of national legislation."
15,2011,Morocco,This Preamble is made [an] integral part of this Constitution.
16,2011,Morocco,TITLE ONE. GENERAL PROVISIONS
17,2011,Morocco,ARTICLE ONE
18,2011,Morocco,"Morocco is a constitutional, democratic, parliamentary and social Monarchy."
19,2011,Morocco,"The constitutional regime of the Kingdom is founded on the separation, the balance and the collaboration of the powers, as well as on participative democracy of [the] citizen, and the principles of good governance and of the correlation between the responsibility for and the rendering of accounts."
20,2011,Morocco,"The Nation relies for its collective life on the federative constants [constantes federatrices], on the occurrence of moderate Muslim religion, [on] the national unity of its multiple components [affluents], [on] the constitutional monarchy and [on] democratic choice."
21,2011,Morocco,The territorial organization of the Kingdom is decentralized. It is founded on an advanced regionalization.
22,2011,Morocco,ARTICLE 2
23,2011,Morocco,"Sovereignty belongs to the Nation which exercises it directly, by way [voie] of referendum, and indirectly, by the intermediary of its representatives."
24,2011,Morocco,"The Nation chooses its representatives from among the institutions elected by way of free, honest [sinceres] and regular suffrage."
25,2011,Morocco,ARTICLE 3
26,2011,Morocco,"Islam is the religion of the State, which guarantees to all the free exercise of beliefs [cultes]."
27,2011,Morocco,ARTICLE 4
28,2011,Morocco,The emblem of the State is the red flag stamped in its center with a green star of five points [branches].
29,2011,Morocco,"The motto of the Kingdom is Dieu, La Patrie, Le Roi [God, the Country, the King]."
30,2011,Morocco,ARTICLE 5
31,2011,Morocco,Arabic is [demeure] the official language of the State.
