sl,year,country,text
1,1999,Nigeria,PREAMBLE
2,1999,Nigeria,We the people of the Federal Republic of Nigeria
3,1999,Nigeria,Having firmly and solemnly resolved:
4,1999,Nigeria,"TO LIVE in unity and harmony as one indivisible and indissoluble sovereign nation under God, dedicated to the promotion of inter-African solidarity, world peace, international co-operation and understanding"
5,1999,Nigeria,"AND TO PROVIDE for a Constitution for the purpose of promoting the good government and welfare of all persons in our country, on the principles of freedom, equality and justice, and for the purpose of consolidating the unity of our people"
6,1999,Nigeria,"DO HEREBY make, enact and give to ourselves the following Constitution:-"
7,1999,Nigeria,CHAPTER I. GENERAL PROVISIONS
8,1999,Nigeria,PART I. FEDERAL REPUBLIC OF NIGERIA
9,1999,Nigeria,1
10,1999,Nigeria,1.This Constitution is Supreme and its provisions shall have binding force on the authorities and persons throughout the Federal Republic of Nigeria.
11,1999,Nigeria,"2.The Federal Republic of Nigeria shall not be governed, nor shall any persons or group of persons take control of the Government of Nigeria or any part thereof, except in accordance with the provisions of this Constitution."
12,1999,Nigeria,"3.If any other law is inconsistent with the provisions of this Constitution, this Constitution shall prevail, and that other law shall, to the extent of the inconsistency, be void."
13,1999,Nigeria,2
14,1999,Nigeria,1.Nigeria is one indivisible and indissoluble sovereign state to be known by the name of the Federal Republic of Nigeria.
15,1999,Nigeria,2.Nigeria shall be a Federation consisting of States and a Federal Capital Territory.
16,1999,Nigeria,3
17,1999,Nigeria,"1.There shall be 36 states in Nigeria, that is to say, Abia, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nasarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe and Zamfara."
18,1999,Nigeria,"2.Each state of Nigeria, named in the first column of Part I of the First Schedule to this Constitution, shall consist of the area shown opposite thereto in the second column of that Schedule."
19,1999,Nigeria,3.The headquarters of the Governor of each State shall be known as the Capital City of that State as shown in the third column of the said Part I of the First Schedule opposite the State named in the first column thereof.
20,1999,Nigeria,"4.The Federal Capital Territory, Abuja, shall be as defined in Part II of the First Scheduled to this Constitution."
21,1999,Nigeria,"5.The provisions of this Constitution in Part I of Chapter VIII hereof shall in relation to the Federal Capital Territory, Abuja, have effect in the manner set out thereunder."
22,1999,Nigeria,6.There shall be 768 Local Government Areas in Nigeria as shown in the second column of Part I of the First Schedule to this Constitution and six area councils as shown in Part II of that Schedule.
23,1999,Nigeria,PART II. POWERS OF THE FEDERAL REPUBLIC OF NIGERIA
24,1999,Nigeria,4
25,1999,Nigeria,"1.The legislative powers of the Federal Republic of Nigeria shall be vested in a National Assembly for the Federation, which shall consist of a Senate and a House of Representatives."
26,1999,Nigeria,"2.The National Assembly shall have power to make laws for the peace, order and good government of the Federation or any part thereof with respect to any matter included in the Exclusive Legislative List set out in Part I of the Second Schedule to this Constitution."
