sl,year,country,text
1,1978,Saint Lucia,PREAMBLE
2,1978,Saint Lucia,WHEREAS the People of Saint Lucia-
3,1978,Saint Lucia,a.affirm their faith in the supremacy of the Almighty God;
4,1978,Saint Lucia,b.believe that all persons have been endowed equally by God with inalienable rights and dignity;
5,1978,Saint Lucia,"c.recognise that the enjoyment of these rights depends upon certain fundamental freedoms namely, freedom of the person, of thought, of expression, of communication, of conscience and of association;"
6,1978,Saint Lucia,d.maintain that these freedoms can only be safeguarded by the rule of law;
7,1978,Saint Lucia,e.realise that human dignity requires respect for spiritual values; for private family life and property; and the enjoyment of an adequate standard of economic and social wellbeing dependent upon the resources of the State;
8,1978,Saint Lucia,"f.respect the principles of social justice and therefore believe that the operation of the economic system should result in the material resources of the community being so distributed as to subserve the common good, that there should be adequate means of livelihood for all, that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit, ability and integrity;"
9,1978,Saint Lucia,"g.express their commitment to democracy, in particular the principle of a government freely elected on the basis of universal adult suffrage."
10,1978,Saint Lucia,"h.consider that individually, each person has duties towards every other and to the community and is under obligation to observe and promote the rights, freedoms and values recognised in this Constitution;"
11,1978,Saint Lucia,"i.pledge their support for international peace and security, for friendly relations among nations and the promotion of universal respect for human rights and freedoms; and their co-operation in solving by peaceful means international problems of an economic, social or political character;"
12,1978,Saint Lucia,"j.desire that this Constitution shall reflect and make provision for ensuring and protecting these rights, freedoms and values."
13,1978,Saint Lucia,"NOW, THEREFORE, the following provisions shall have effect as the Constitution of Saint Lucia:"
14,1978,Saint Lucia,CHAPTER I. PROTECTION OF FUNDAMENTAL RIGHTS AND FREEDOMS
15,1978,Saint Lucia,"1. Whereas every person in Saint Lucia is entitled to the fundamental rights and freedoms, that is to say, the right, whatever his race, place of origin, political opinions, colour, creed or sex, but subject to respect for the rights and freedoms of others and for the public interest, to each and all of the following, namely-"
16,1978,Saint Lucia,"a.life, liberty, security of the person, equality before the law and the protection of the law;"
17,1978,Saint Lucia,"b.freedom of conscience, of expression and of assembly and association; and"
18,1978,Saint Lucia,"c.protection for his family life, his personal privacy, the privacy of his home and other property and from deprivation of property without compensation,"
19,1978,Saint Lucia,"the provisions of this Chapter shall have effect for the purpose of affording protection to those rights and freedoms subject to such limitations of that protection as are contained in those provisions, being limitations designed to ensure that the enjoyment of the said rights and freedoms by any person does not prejudice the rights and freedoms of others or the public interest."
20,1978,Saint Lucia,2. 1. A person shall not be deprived of his life intentionally save in execution of the sentence of a court in respect of a criminal offence under any law of which he has been convicted.
