Date,Energetic,Jealous,Calm,Content,Angry,Sad,Relaxed,Loved,Scared,Proud,Irritated,Depressed,Exhausted,Caring,Panicky,Embarrassed,Bored,Worried,Inspired,Excited,Lonely,Nervous,Happy,Satisfaction with life,Satisfaction with personal relationships,Purpose,Pleasant-Unpleasant Scale,Arousal-Calm Scale,Poisitve - Tired Scale,Negative Relaxed Scale
08/05/20,5,1,6,6,3,1,6,6,1,6,1,1,3,4,1,1,1,2,6,7,1,1,6,6,5,5,22,18,18,-1
09/05/20,3,2,4,5,1,1,4,4,1,4,4,1,5,4,1,1,2,1,4,5,1,1,4,5,6,5,11,11,10,0
10/05/20,5,1,6,5,1,1,6,5,1,4,1,1,3,6,1,1,1,1,3,3,1,1,5,6,6,5,24,15,18,-2
11/05/20,5,1,6,3,1,1,5,6,5,1,1,1,2,5,2,6,1,5,1,1,1,2,4,4,2,3,18,20,18,3
12/05/20,3,1,5,2,1,2,4,3,3,1,1,1,2,2,1,4,1,3,2,1,1,1,4,4,3,3,9,11,10,2
13/05/20,6,1,6,2,1,1,6,6,1,1,3,1,1,2,2,2,3,2,1,1,3,1,3,5,3,4,16,15,16,-1
15/05/20,4,1,6,5,2,1,6,5,2,2,1,1,1,3,1,4,1,2,4,4,1,2,5,5,4,4,20,16,16,0
16/05/20,3,1,6,6,1,1,3,4,1,3,1,1,3,1,1,2,1,1,4,3,1,1,6,5,4,4,18,8,11,-2
17/05/20,3,1,6,3,1,1,3,3,1,1,1,1,5,1,1,1,2,1,1,1,1,1,4,4,5,4,10,2,6,-2
18/05/20,2,1,6,3,1,1,3,3,1,1,1,1,4,2,1,1,1,1,3,4,1,1,5,5,4,4,12,5,8,-2
19/05/20,5,1,6,5,1,1,4,3,1,5,1,1,3,3,1,1,1,2,5,5,1,1,5,6,4,5,18,13,13,-1
20/05/20,4,1,4,5,2,1,5,4,1,3,2,1,2,3,2,1,1,1,2,4,1,1,5,5,5,5,16,13,14,0
21/05/20,3,1,6,5,1,1,5,5,1,1,1,1,1,5,1,1,2,1,1,1,1,1,5,4,6,5,23,12,17,-2
22/05/20,5,1,6,3,2,2,6,5,1,3,2,1,1,1,1,1,1,1,1,3,1,1,5,5,5,5,16,11,15,-1
23/05/20,5,1,6,5,1,1,5,3,1,1,1,1,1,3,1,2,1,1,1,5,1,1,5,5,5,4,21,10,15,-2
24/05/20,5,1,6,5,1,1,7,6,1,5,1,1,1,3,1,1,1,1,3,3,1,1,5,6,4,5,24,15,18,-2
25/05/20,5,1,5,5,1,3,4,5,3,4,2,1,1,4,2,1,2,2,3,3,1,1,5,5,4,4,19,20,18,2
26/05/20,5,1,3,6,1,1,5,2,1,3,1,1,1,1,1,2,2,1,5,5,1,1,6,5,4,4,17,14,13,1
28/05/20,3,1,6,1,1,1,6,4,1,1,1,1,1,3,1,2,1,2,1,1,1,1,5,5,5,5,15,10,14,-1
29/05/20,2,1,3,1,2,1,5,3,1,1,3,1,1,1,1,2,1,1,2,1,1,1,4,5,3,4,5,9,9,1
30/05/20,2,2,2,1,3,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,4,3,4,2,11,10,2
31/05/20,6,1,6,7,1,1,7,7,1,6,1,1,1,2,1,1,1,1,2,2,1,1,6,6,6,5,28,15,20,-2
01/06/20,4,1,6,1,1,1,6,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,6,5,5,5,14,6,12,-2
02/06/20,1,1,6,4,2,1,3,1,1,1,2,1,5,1,1,1,1,1,1,3,1,1,5,5,5,4,6,-2,3,-2
