sl,date,artist,album,song,word,sentiment
1,30/11/82,Michael Jackson,thriller,Thriller,dark,sadness
3,30/11/82,Michael Jackson,thriller,Thriller,scream,anger
3,30/11/82,Michael Jackson,thriller,Thriller,scream,disgust
3,30/11/82,Michael Jackson,thriller,Thriller,scream,fear
3,30/11/82,Michael Jackson,thriller,Thriller,scream,negative
3,30/11/82,Michael Jackson,thriller,Thriller,scream,surprise
3,30/11/82,Michael Jackson,thriller,Thriller,terror,fear
3,30/11/82,Michael Jackson,thriller,Thriller,terror,negative
4,30/11/82,Michael Jackson,thriller,Thriller,start,anticipation
4,30/11/82,Michael Jackson,thriller,Thriller,horror,anger
4,30/11/82,Michael Jackson,thriller,Thriller,horror,disgust
4,30/11/82,Michael Jackson,thriller,Thriller,horror,fear
4,30/11/82,Michael Jackson,thriller,Thriller,horror,negative
4,30/11/82,Michael Jackson,thriller,Thriller,horror,sadness
4,30/11/82,Michael Jackson,thriller,Thriller,horror,surprise
5,30/11/82,Michael Jackson,thriller,Thriller,paralyzed,anger
5,30/11/82,Michael Jackson,thriller,Thriller,paralyzed,fear
5,30/11/82,Michael Jackson,thriller,Thriller,paralyzed,negative
5,30/11/82,Michael Jackson,thriller,Thriller,paralyzed,sadness
5,30/11/82,Michael Jackson,thriller,Thriller,paralyzed,surprise
7,30/11/82,Michael Jackson,thriller,Thriller,save,joy
7,30/11/82,Michael Jackson,thriller,Thriller,save,positive
7,30/11/82,Michael Jackson,thriller,Thriller,save,trust
7,30/11/82,Michael Jackson,thriller,Thriller,beast,anger
7,30/11/82,Michael Jackson,thriller,Thriller,beast,fear
7,30/11/82,Michael Jackson,thriller,Thriller,beast,negative
7,30/11/82,Michael Jackson,thriller,Thriller,strike,anger
7,30/11/82,Michael Jackson,thriller,Thriller,strike,negative
9,30/11/82,Michael Jackson,thriller,Thriller,fighting,anger
9,30/11/82,Michael Jackson,thriller,Thriller,fighting,negative
10,30/11/82,Michael Jackson,thriller,Thriller,slam,anger
10,30/11/82,Michael Jackson,thriller,Thriller,slam,fear
10,30/11/82,Michael Jackson,thriller,Thriller,slam,negative
10,30/11/82,Michael Jackson,thriller,Thriller,slam,surprise
11,30/11/82,Michael Jackson,thriller,Thriller,cold,negative
11,30/11/82,Michael Jackson,thriller,Thriller,sun,anticipation
11,30/11/82,Michael Jackson,thriller,Thriller,sun,joy
11,30/11/82,Michael Jackson,thriller,Thriller,sun,positive
11,30/11/82,Michael Jackson,thriller,Thriller,sun,surprise
11,30/11/82,Michael Jackson,thriller,Thriller,sun,trust
12,30/11/82,Michael Jackson,thriller,Thriller,hope,anticipation
12,30/11/82,Michael Jackson,thriller,Thriller,hope,joy
12,30/11/82,Michael Jackson,thriller,Thriller,hope,positive
12,30/11/82,Michael Jackson,thriller,Thriller,hope,surprise
12,30/11/82,Michael Jackson,thriller,Thriller,hope,trust
13,30/11/82,Michael Jackson,thriller,Thriller,creature,disgust
13,30/11/82,Michael Jackson,thriller,Thriller,creature,fear
13,30/11/82,Michael Jackson,thriller,Thriller,creature,negative
14,30/11/82,Michael Jackson,thriller,Thriller,time,anticipation
16,30/11/82,Michael Jackson,thriller,Thriller,chance,surprise
18,30/11/82,Michael Jackson,thriller,Thriller,fighting,anger
