sl,date,artist,album,song,text
1,30/11/82,Michael Jackson,thriller,Thriller,It's close to midnight and something evil's lurkin' in the dark
2,30/11/82,Michael Jackson,thriller,Thriller,Under the moonlight you see a sight that almost stops your heart
3,30/11/82,Michael Jackson,thriller,Thriller,You try to scream but terror takes the sound before you make it
4,30/11/82,Michael Jackson,thriller,Thriller,"You start to freeze as horror looks you right between the eyes,"
5,30/11/82,Michael Jackson,thriller,Thriller,You're paralyzed
6,30/11/82,Michael Jackson,thriller,Thriller,"'Cause this is thriller, thriller night"
7,30/11/82,Michael Jackson,thriller,Thriller,And no one's gonna save you from the beast about to strike
8,30/11/82,Michael Jackson,thriller,Thriller,"You know it's thriller, thriller night"
9,30/11/82,Michael Jackson,thriller,Thriller,"You're fighting for your life inside a killer, thriller tonight"
10,30/11/82,Michael Jackson,thriller,Thriller,You hear the door slam and realize there's nowhere left to run
11,30/11/82,Michael Jackson,thriller,Thriller,You feel the cold hand and wonder if you'll ever see the sun
12,30/11/82,Michael Jackson,thriller,Thriller,"You close your eyes and hope that this is just imagination, girl"
13,30/11/82,Michael Jackson,thriller,Thriller,But all the while you hear a creature creepin' up behind
14,30/11/82,Michael Jackson,thriller,Thriller,You're outta time
15,30/11/82,Michael Jackson,thriller,Thriller,"'Cause this is thriller, thriller night"
16,30/11/82,Michael Jackson,thriller,Thriller,"There ain't no second chance against the thing with the forty eyes, girl"
17,30/11/82,Michael Jackson,thriller,Thriller,"Thriller, thriller night"
18,30/11/82,Michael Jackson,thriller,Thriller,"You're fighting for your life inside a killer, thriller tonight"
19,30/11/82,Michael Jackson,thriller,Thriller,Night creatures call
20,30/11/82,Michael Jackson,thriller,Thriller,And the dead start to walk in their masquerade
21,30/11/82,Michael Jackson,thriller,Thriller,There's no escaping the jaws of the alien this time they're open wide
22,30/11/82,Michael Jackson,thriller,Thriller,This is the end of your life
23,30/11/82,Michael Jackson,thriller,Thriller,"They're out to get you, there's demons closing in on every side"
24,30/11/82,Michael Jackson,thriller,Thriller,They will possess you unless you change that number on your dial
25,30/11/82,Michael Jackson,thriller,Thriller,Now is the time for you and I to cuddle close together
26,30/11/82,Michael Jackson,thriller,Thriller,"All through the night I'll save you from the terror on the screen,"
27,30/11/82,Michael Jackson,thriller,Thriller,I'll make you see
28,30/11/82,Michael Jackson,thriller,Thriller,"That this is thriller, thriller night"
29,30/11/82,Michael Jackson,thriller,Thriller,'Cause I can thrill you more than any ghoul could ever dare try
30,30/11/82,Michael Jackson,thriller,Thriller,"Thriller, thriller night"
31,30/11/82,Michael Jackson,thriller,Thriller,"So let me hold you tight and share a killer, thriller, chiller"
32,30/11/82,Michael Jackson,thriller,Thriller,Thriller here tonight
33,30/11/82,Michael Jackson,thriller,Thriller,"'Cause this is thriller, thriller night"
34,30/11/82,Michael Jackson,thriller,Thriller,"Girl, I can thrill you more than any ghoul could ever dare try"
35,30/11/82,Michael Jackson,thriller,Thriller,"Thriller, thriller night"
36,30/11/82,Michael Jackson,thriller,Thriller,"So let me hold you tight and share a killer, thriller"
37,30/11/82,Michael Jackson,thriller,Thriller,I'm gonna thrill you tonight
38,30/11/82,Michael Jackson,thriller,Thriller,[Vincent Price:]
39,30/11/82,Michael Jackson,thriller,Thriller,Darkness falls across the land
40,30/11/82,Michael Jackson,thriller,Thriller,The midnight hour is close at hand
41,30/11/82,Michael Jackson,thriller,Thriller,Creatures crawl in search of blood
42,30/11/82,Michael Jackson,thriller,Thriller,To terrorize y'all's neighborhood
43,30/11/82,Michael Jackson,thriller,Thriller,And whomsoever shall be found
44,30/11/82,Michael Jackson,thriller,Thriller,Without the soul for getting down
45,30/11/82,Michael Jackson,thriller,Thriller,Must stand and face the hounds of hell
46,30/11/82,Michael Jackson,thriller,Thriller,And rot inside a corpse's shell
47,30/11/82,Michael Jackson,thriller,Thriller,[Michael Jackson:]
48,30/11/82,Michael Jackson,thriller,Thriller,I'm gonna thrill you tonight...
49,30/11/82,Michael Jackson,thriller,Thriller,[Vincent Price:]
50,30/11/82,Michael Jackson,thriller,Thriller,The foulest stench is in the air
51,30/11/82,Michael Jackson,thriller,Thriller,The funk of forty thousand years
52,30/11/82,Michael Jackson,thriller,Thriller,And grisly ghouls from every tomb
53,30/11/82,Michael Jackson,thriller,Thriller,Are closing in to seal your doom
54,30/11/82,Michael Jackson,thriller,Thriller,And though you fight to stay alive
55,30/11/82,Michael Jackson,thriller,Thriller,Your body starts to shiver
56,30/11/82,Michael Jackson,thriller,Thriller,For no mere mortal can resist
57,30/11/82,Michael Jackson,thriller,Thriller,The evil of the thriller
