sl,Year,artist,album,song,word
1,1982,Michael Jackson,Thriller,Thriller,close
1,1982,Michael Jackson,Thriller,Thriller,midnight
1,1982,Michael Jackson,Thriller,Thriller,evil's
1,1982,Michael Jackson,Thriller,Thriller,lurkin
1,1982,Michael Jackson,Thriller,Thriller,dark
2,1982,Michael Jackson,Thriller,Thriller,moonlight
2,1982,Michael Jackson,Thriller,Thriller,sight
2,1982,Michael Jackson,Thriller,Thriller,stops
2,1982,Michael Jackson,Thriller,Thriller,heart
3,1982,Michael Jackson,Thriller,Thriller,scream
3,1982,Michael Jackson,Thriller,Thriller,terror
3,1982,Michael Jackson,Thriller,Thriller,takes
3,1982,Michael Jackson,Thriller,Thriller,sound
4,1982,Michael Jackson,Thriller,Thriller,start
4,1982,Michael Jackson,Thriller,Thriller,freeze
4,1982,Michael Jackson,Thriller,Thriller,horror
4,1982,Michael Jackson,Thriller,Thriller,eyes
5,1982,Michael Jackson,Thriller,Thriller,paralyzed
6,1982,Michael Jackson,Thriller,Thriller,thriller
6,1982,Michael Jackson,Thriller,Thriller,thriller
6,1982,Michael Jackson,Thriller,Thriller,night
7,1982,Michael Jackson,Thriller,Thriller,one's
7,1982,Michael Jackson,Thriller,Thriller,gonna
7,1982,Michael Jackson,Thriller,Thriller,save
7,1982,Michael Jackson,Thriller,Thriller,beast
7,1982,Michael Jackson,Thriller,Thriller,strike
8,1982,Michael Jackson,Thriller,Thriller,thriller
8,1982,Michael Jackson,Thriller,Thriller,thriller
8,1982,Michael Jackson,Thriller,Thriller,night
9,1982,Michael Jackson,Thriller,Thriller,fighting
9,1982,Michael Jackson,Thriller,Thriller,life
9,1982,Michael Jackson,Thriller,Thriller,inside
9,1982,Michael Jackson,Thriller,Thriller,killer
9,1982,Michael Jackson,Thriller,Thriller,thriller
9,1982,Michael Jackson,Thriller,Thriller,tonight
10,1982,Michael Jackson,Thriller,Thriller,hear
10,1982,Michael Jackson,Thriller,Thriller,door
10,1982,Michael Jackson,Thriller,Thriller,slam
10,1982,Michael Jackson,Thriller,Thriller,realize
10,1982,Michael Jackson,Thriller,Thriller,left
10,1982,Michael Jackson,Thriller,Thriller,run
11,1982,Michael Jackson,Thriller,Thriller,feel
11,1982,Michael Jackson,Thriller,Thriller,cold
11,1982,Michael Jackson,Thriller,Thriller,hand
11,1982,Michael Jackson,Thriller,Thriller,sun
12,1982,Michael Jackson,Thriller,Thriller,close
12,1982,Michael Jackson,Thriller,Thriller,eyes
12,1982,Michael Jackson,Thriller,Thriller,hope
12,1982,Michael Jackson,Thriller,Thriller,imagination
12,1982,Michael Jackson,Thriller,Thriller,girl
13,1982,Michael Jackson,Thriller,Thriller,hear
13,1982,Michael Jackson,Thriller,Thriller,creature
13,1982,Michael Jackson,Thriller,Thriller,creepin
14,1982,Michael Jackson,Thriller,Thriller,outta
