sl,Year,Artist,Album,Song,text
1,1996,Eminem,Infinite,Infinite,"Aw, yeah It's like this, like this"
2,1996,Eminem,Infinite,Infinite,"it's Eminem baby, back up in that motherfucking ass"
3,1996,Eminem,Infinite,Infinite,"Till forever, till forever"
4,1996,Eminem,Infinite,Infinite,"One time for your motherfucking mind, we represent the 313"
5,1996,Eminem,Infinite,Infinite,You know what I'm saying?
6,1996,Eminem,Infinite,Infinite,yo they don't know shit about this
7,1996,Eminem,Infinite,Infinite,For the '96
8,1996,Eminem,Infinite,Infinite,"Ayo, my pen and paper cause a chain reaction"
9,1996,Eminem,Infinite,Infinite,"To get your brain relaxing, the zany-acting maniac in action"
10,1996,Eminem,Infinite,Infinite,"A brainiac in fact son, you mainly lack attraction"
11,1996,Eminem,Infinite,Infinite,You look insanely wack when just a fraction of my tracks run
12,1996,Eminem,Infinite,Infinite,My rhyming skills got you climbing hills
13,1996,Eminem,Infinite,Infinite,I travel through your mind into your spine like siren drills
14,1996,Eminem,Infinite,Infinite,"I'm sliming grills of roaches, with spray that disinfects"
15,1996,Eminem,Infinite,Infinite,and twist the necks of rappers 'til their spinal column disconnects
16,1996,Eminem,Infinite,Infinite,"Put this in decks and check the monologue, turn your system up"
17,1996,Eminem,Infinite,Infinite,"Twist them up, and indulge in the marijuana smoke"
18,1996,Eminem,Infinite,Infinite,This is the season for noise pollution contamination
19,1996,Eminem,Infinite,Infinite,Examination of more car tunes than animation
20,1996,Eminem,Infinite,Infinite,My lamination of narration
21,1996,Eminem,Infinite,Infinite,Hits a snare and bass in a track for duck rapper interrogation
22,1996,Eminem,Infinite,Infinite,"When I declare invasion, there ain't no time to be staring gazing"
23,1996,Eminem,Infinite,Infinite,I turn the stage into a barren wasteland...
24,1996,Eminem,Infinite,Infinite,I'm infinite
25,1996,Eminem,Infinite,Infinite,You heard of hell well I was sent from it
26,1996,Eminem,Infinite,Infinite,I went to it serving a sentence for murderin' instruments
27,1996,Eminem,Infinite,Infinite,Now I'm trying to repent from it
28,1996,Eminem,Infinite,Infinite,But when I hear the beat I'm tempted to make another attempt at it...
29,1996,Eminem,Infinite,Infinite,I'm infinite
