X.,song,word,sentiment
2,Thriller,dark,sadness
4,Thriller,scream,anger
4,Thriller,scream,disgust
4,Thriller,scream,fear
4,Thriller,scream,negative
4,Thriller,scream,surprise
4,Thriller,terror,fear
4,Thriller,terror,negative
5,Thriller,start,anticipation
5,Thriller,horror,anger
5,Thriller,horror,disgust
5,Thriller,horror,fear
5,Thriller,horror,negative
5,Thriller,horror,sadness
5,Thriller,horror,surprise
6,Thriller,paralyzed,anger
6,Thriller,paralyzed,fear
6,Thriller,paralyzed,negative
6,Thriller,paralyzed,sadness
6,Thriller,paralyzed,surprise
8,Thriller,save,joy
8,Thriller,save,positive
8,Thriller,save,trust
8,Thriller,beast,anger
8,Thriller,beast,fear
8,Thriller,beast,negative
8,Thriller,strike,anger
8,Thriller,strike,negative
10,Thriller,fighting,anger
10,Thriller,fighting,negative
11,Thriller,slam,anger
11,Thriller,slam,fear
11,Thriller,slam,negative
11,Thriller,slam,surprise
12,Thriller,cold,negative
12,Thriller,sun,anticipation
12,Thriller,sun,joy
12,Thriller,sun,positive
12,Thriller,sun,surprise
12,Thriller,sun,trust
13,Thriller,hope,anticipation
13,Thriller,hope,joy
13,Thriller,hope,positive
13,Thriller,hope,surprise
13,Thriller,hope,trust
14,Thriller,creature,disgust
14,Thriller,creature,fear
14,Thriller,creature,negative
15,Thriller,time,anticipation
17,Thriller,chance,surprise
19,Thriller,fighting,anger
19,Thriller,fighting,negative
21,Thriller,start,anticipation
22,Thriller,jaws,fear
22,Thriller,alien,disgust
22,Thriller,alien,fear
22,Thriller,alien,negative
22,Thriller,time,anticipation
25,Thriller,possess,anticipation
25,Thriller,possess,joy
25,Thriller,possess,positive
25,Thriller,possess,trust
25,Thriller,change,fear
26,Thriller,time,anticipation
26,Thriller,cuddle,joy
26,Thriller,cuddle,positive
26,Thriller,cuddle,trust
27,Thriller,save,joy
27,Thriller,save,positive
27,Thriller,save,trust
27,Thriller,terror,fear
27,Thriller,terror,negative
30,Thriller,thrill,anticipation
30,Thriller,thrill,fear
30,Thriller,thrill,joy
30,Thriller,thrill,positive
30,Thriller,thrill,surprise
30,Thriller,dare,anticipation
30,Thriller,dare,trust
32,Thriller,share,anticipation
32,Thriller,share,joy
32,Thriller,share,positive
32,Thriller,share,trust
35,Thriller,thrill,anticipation
35,Thriller,thrill,fear
35,Thriller,thrill,joy
35,Thriller,thrill,positive
35,Thriller,thrill,surprise
35,Thriller,dare,anticipation
