sl,Year,artist,album,song,word,sentiment
1,1982,Michael Jackson,Thriller,Thriller,dark,sadness
3,1982,Michael Jackson,Thriller,Thriller,scream,anger
3,1982,Michael Jackson,Thriller,Thriller,scream,disgust
3,1982,Michael Jackson,Thriller,Thriller,scream,fear
3,1982,Michael Jackson,Thriller,Thriller,scream,negative
3,1982,Michael Jackson,Thriller,Thriller,scream,surprise
3,1982,Michael Jackson,Thriller,Thriller,terror,fear
3,1982,Michael Jackson,Thriller,Thriller,terror,negative
4,1982,Michael Jackson,Thriller,Thriller,start,anticipation
4,1982,Michael Jackson,Thriller,Thriller,horror,anger
4,1982,Michael Jackson,Thriller,Thriller,horror,disgust
4,1982,Michael Jackson,Thriller,Thriller,horror,fear
4,1982,Michael Jackson,Thriller,Thriller,horror,negative
4,1982,Michael Jackson,Thriller,Thriller,horror,sadness
4,1982,Michael Jackson,Thriller,Thriller,horror,surprise
5,1982,Michael Jackson,Thriller,Thriller,paralyzed,anger
5,1982,Michael Jackson,Thriller,Thriller,paralyzed,fear
5,1982,Michael Jackson,Thriller,Thriller,paralyzed,negative
5,1982,Michael Jackson,Thriller,Thriller,paralyzed,sadness
5,1982,Michael Jackson,Thriller,Thriller,paralyzed,surprise
7,1982,Michael Jackson,Thriller,Thriller,save,joy
7,1982,Michael Jackson,Thriller,Thriller,save,positive
7,1982,Michael Jackson,Thriller,Thriller,save,trust
7,1982,Michael Jackson,Thriller,Thriller,beast,anger
7,1982,Michael Jackson,Thriller,Thriller,beast,fear
7,1982,Michael Jackson,Thriller,Thriller,beast,negative
7,1982,Michael Jackson,Thriller,Thriller,strike,anger
7,1982,Michael Jackson,Thriller,Thriller,strike,negative
9,1982,Michael Jackson,Thriller,Thriller,fighting,anger
9,1982,Michael Jackson,Thriller,Thriller,fighting,negative
10,1982,Michael Jackson,Thriller,Thriller,slam,anger
10,1982,Michael Jackson,Thriller,Thriller,slam,fear
10,1982,Michael Jackson,Thriller,Thriller,slam,negative
10,1982,Michael Jackson,Thriller,Thriller,slam,surprise
11,1982,Michael Jackson,Thriller,Thriller,cold,negative
11,1982,Michael Jackson,Thriller,Thriller,sun,anticipation
11,1982,Michael Jackson,Thriller,Thriller,sun,joy
11,1982,Michael Jackson,Thriller,Thriller,sun,positive
11,1982,Michael Jackson,Thriller,Thriller,sun,surprise
11,1982,Michael Jackson,Thriller,Thriller,sun,trust
12,1982,Michael Jackson,Thriller,Thriller,hope,anticipation
12,1982,Michael Jackson,Thriller,Thriller,hope,joy
12,1982,Michael Jackson,Thriller,Thriller,hope,positive
12,1982,Michael Jackson,Thriller,Thriller,hope,surprise
12,1982,Michael Jackson,Thriller,Thriller,hope,trust
13,1982,Michael Jackson,Thriller,Thriller,creature,disgust
13,1982,Michael Jackson,Thriller,Thriller,creature,fear
13,1982,Michael Jackson,Thriller,Thriller,creature,negative
14,1982,Michael Jackson,Thriller,Thriller,time,anticipation
16,1982,Michael Jackson,Thriller,Thriller,chance,surprise
18,1982,Michael Jackson,Thriller,Thriller,fighting,anger
18,1982,Michael Jackson,Thriller,Thriller,fighting,negative
20,1982,Michael Jackson,Thriller,Thriller,start,anticipation
21,1982,Michael Jackson,Thriller,Thriller,jaws,fear
21,1982,Michael Jackson,Thriller,Thriller,alien,disgust
21,1982,Michael Jackson,Thriller,Thriller,alien,fear
21,1982,Michael Jackson,Thriller,Thriller,alien,negative
21,1982,Michael Jackson,Thriller,Thriller,time,anticipation
24,1982,Michael Jackson,Thriller,Thriller,possess,anticipation
24,1982,Michael Jackson,Thriller,Thriller,possess,joy
24,1982,Michael Jackson,Thriller,Thriller,possess,positive
24,1982,Michael Jackson,Thriller,Thriller,possess,trust
24,1982,Michael Jackson,Thriller,Thriller,change,fear
25,1982,Michael Jackson,Thriller,Thriller,time,anticipation
25,1982,Michael Jackson,Thriller,Thriller,cuddle,joy
25,1982,Michael Jackson,Thriller,Thriller,cuddle,positive
25,1982,Michael Jackson,Thriller,Thriller,cuddle,trust
26,1982,Michael Jackson,Thriller,Thriller,save,joy
26,1982,Michael Jackson,Thriller,Thriller,save,positive
26,1982,Michael Jackson,Thriller,Thriller,save,trust
26,1982,Michael Jackson,Thriller,Thriller,terror,fear
26,1982,Michael Jackson,Thriller,Thriller,terror,negative
29,1982,Michael Jackson,Thriller,Thriller,thrill,anticipation
29,1982,Michael Jackson,Thriller,Thriller,thrill,fear
29,1982,Michael Jackson,Thriller,Thriller,thrill,joy
29,1982,Michael Jackson,Thriller,Thriller,thrill,positive
29,1982,Michael Jackson,Thriller,Thriller,thrill,surprise
29,1982,Michael Jackson,Thriller,Thriller,dare,anticipation
29,1982,Michael Jackson,Thriller,Thriller,dare,trust
31,1982,Michael Jackson,Thriller,Thriller,share,anticipation
31,1982,Michael Jackson,Thriller,Thriller,share,joy
31,1982,Michael Jackson,Thriller,Thriller,share,positive
31,1982,Michael Jackson,Thriller,Thriller,share,trust
