sl,Year,artist,album,song,text
1,1982,Michael Jackson,Thriller,Thriller,It's close to midnight and something evil's lurkin' in the dark
2,1982,Michael Jackson,Thriller,Thriller,Under the moonlight you see a sight that almost stops your heart
3,1982,Michael Jackson,Thriller,Thriller,You try to scream but terror takes the sound before you make it
4,1982,Michael Jackson,Thriller,Thriller,"You start to freeze as horror looks you right between the eyes,"
5,1982,Michael Jackson,Thriller,Thriller,You're paralyzed
6,1982,Michael Jackson,Thriller,Thriller,"'Cause this is thriller, thriller night"
7,1982,Michael Jackson,Thriller,Thriller,And no one's gonna save you from the beast about to strike
8,1982,Michael Jackson,Thriller,Thriller,"You know it's thriller, thriller night"
9,1982,Michael Jackson,Thriller,Thriller,"You're fighting for your life inside a killer, thriller tonight"
10,1982,Michael Jackson,Thriller,Thriller,You hear the door slam and realize there's nowhere left to run
11,1982,Michael Jackson,Thriller,Thriller,You feel the cold hand and wonder if you'll ever see the sun
12,1982,Michael Jackson,Thriller,Thriller,"You close your eyes and hope that this is just imagination, girl"
13,1982,Michael Jackson,Thriller,Thriller,But all the while you hear a creature creepin' up behind
14,1982,Michael Jackson,Thriller,Thriller,You're outta time
15,1982,Michael Jackson,Thriller,Thriller,"'Cause this is thriller, thriller night"
16,1982,Michael Jackson,Thriller,Thriller,"There ain't no second chance against the thing with the forty eyes, girl"
17,1982,Michael Jackson,Thriller,Thriller,"Thriller, thriller night"
18,1982,Michael Jackson,Thriller,Thriller,"You're fighting for your life inside a killer, thriller tonight"
19,1982,Michael Jackson,Thriller,Thriller,Night creatures call
20,1982,Michael Jackson,Thriller,Thriller,And the dead start to walk in their masquerade
21,1982,Michael Jackson,Thriller,Thriller,There's no escaping the jaws of the alien this time they're open wide
22,1982,Michael Jackson,Thriller,Thriller,This is the end of your life
23,1982,Michael Jackson,Thriller,Thriller,"They're out to get you, there's demons closing in on every side"
24,1982,Michael Jackson,Thriller,Thriller,They will possess you unless you change that number on your dial
25,1982,Michael Jackson,Thriller,Thriller,Now is the time for you and I to cuddle close together
26,1982,Michael Jackson,Thriller,Thriller,"All through the night I'll save you from the terror on the screen,"
27,1982,Michael Jackson,Thriller,Thriller,I'll make you see
28,1982,Michael Jackson,Thriller,Thriller,"That this is thriller, thriller night"
29,1982,Michael Jackson,Thriller,Thriller,'Cause I can thrill you more than any ghoul could ever dare try
30,1982,Michael Jackson,Thriller,Thriller,"Thriller, thriller night"
31,1982,Michael Jackson,Thriller,Thriller,"So let me hold you tight and share a killer, thriller, chiller"
32,1982,Michael Jackson,Thriller,Thriller,Thriller here tonight
33,1982,Michael Jackson,Thriller,Thriller,"'Cause this is thriller, thriller night"
34,1982,Michael Jackson,Thriller,Thriller,"Girl, I can thrill you more than any ghoul could ever dare try"
35,1982,Michael Jackson,Thriller,Thriller,"Thriller, thriller night"
36,1982,Michael Jackson,Thriller,Thriller,"So let me hold you tight and share a killer, thriller"
37,1982,Michael Jackson,Thriller,Thriller,I'm gonna thrill you tonight
38,1982,Michael Jackson,Thriller,Thriller,[Vincent Price:]
39,1982,Michael Jackson,Thriller,Thriller,Darkness falls across the land
40,1982,Michael Jackson,Thriller,Thriller,The midnight hour is close at hand
41,1982,Michael Jackson,Thriller,Thriller,Creatures crawl in search of blood
42,1982,Michael Jackson,Thriller,Thriller,To terrorize y'all's neighborhood
43,1982,Michael Jackson,Thriller,Thriller,And whomsoever shall be found
44,1982,Michael Jackson,Thriller,Thriller,Without the soul for getting down
45,1982,Michael Jackson,Thriller,Thriller,Must stand and face the hounds of hell
46,1982,Michael Jackson,Thriller,Thriller,And rot inside a corpse's shell
47,1982,Michael Jackson,Thriller,Thriller,[Michael Jackson:]
48,1982,Michael Jackson,Thriller,Thriller,I'm gonna thrill you tonight...
49,1982,Michael Jackson,Thriller,Thriller,[Vincent Price:]
50,1982,Michael Jackson,Thriller,Thriller,The foulest stench is in the air
51,1982,Michael Jackson,Thriller,Thriller,The funk of forty thousand years
52,1982,Michael Jackson,Thriller,Thriller,And grisly ghouls from every tomb
53,1982,Michael Jackson,Thriller,Thriller,Are closing in to seal your doom
54,1982,Michael Jackson,Thriller,Thriller,And though you fight to stay alive
55,1982,Michael Jackson,Thriller,Thriller,Your body starts to shiver
56,1982,Michael Jackson,Thriller,Thriller,For no mere mortal can resist
57,1982,Michael Jackson,Thriller,Thriller,The evil of the thriller
58,1982,Michael Jackson,Thriller,Thriller,"[Into maniacal laugh, in deep echo]"
59,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
60,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
61,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
62,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
63,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
64,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
65,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
66,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
67,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
68,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
69,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
70,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
71,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I took my baby to the doctor
72,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"With a fever, but nothing he found"
73,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',By the time this hit the street
74,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',They said she had a breakdown
75,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Someone's always tryin'
76,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',To start my baby cryin'
77,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Talkin', squealin', lyin'"
78,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Sayin' you just wanna be startin' somethin'
79,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
80,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
81,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
82,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
83,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
84,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
85,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
86,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
87,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
88,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
89,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
90,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
91,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You love to pretend that you're good
92,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',When you're always up to no good
93,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You really can't make him hate her
94,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',So your tongue became a razor
95,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Someone's always tryin'
96,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',To keep my baby cryin'
97,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Treacherous, cunnin', declinin'"
98,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got my baby cryin'
