Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,86.949997,87.199997,86.949997,87.199997,84.843239,45
2015-04-06,87.900002,88.400002,87.900002,88.400002,86.010811,120
2015-04-07,88.699997,89.550003,88.220001,89.449997,87.032433,652
2015-04-08,88.699997,90.099998,88.300003,90.099998,87.664864,845
2015-04-09,88.760002,90.550003,87.250000,90.529999,88.083244,2645
2015-04-10,89.349998,90.800003,89.250000,90.750000,88.297302,459
2015-04-13,89.800003,90.150002,89.800003,90.150002,87.713516,70
2015-04-15,86.900002,92.000000,86.900002,89.949997,87.518921,765
2015-04-16,89.550003,89.550003,89.550003,89.550003,87.129738,1
2015-04-17,89.150002,89.550003,89.150002,89.550003,87.129738,71
2015-04-20,88.000000,89.500000,87.000000,89.000000,86.594597,45280
2015-04-21,86.449997,86.449997,86.449997,86.449997,84.113510,1
2015-04-22,85.699997,86.099998,85.699997,86.099998,83.772972,90
2015-04-23,86.300003,86.300003,86.300003,86.300003,83.967575,6
2015-04-24,85.900002,86.300003,85.900002,86.150002,83.821625,100
2015-04-27,86.150002,86.150002,86.150002,86.150002,83.821625,45
2015-04-28,84.099998,85.550003,84.099998,85.550003,83.237839,545
2015-04-29,84.550003,86.500000,84.550003,86.480003,84.142708,342
2015-04-30,84.300003,84.300003,84.300003,84.300003,82.021629,1
2015-05-04,83.699997,84.550003,83.699997,84.550003,82.264870,422
2015-05-05,85.250000,85.650002,85.250000,85.650002,83.335136,100
2015-05-06,87.000000,92.000000,85.650002,86.949997,84.599998,72
2015-05-07,101.000000,101.000000,101.000000,101.000000,98.270271,1
2015-05-08,101.000000,101.000000,87.000000,87.000000,84.648651,211
2015-05-11,97.900002,97.900002,89.000000,89.000000,86.594597,2
2015-05-12,90.000000,90.000000,90.000000,90.000000,87.567566,1
2015-05-13,85.000000,85.000000,85.000000,85.000000,82.702705,5
2015-05-14,85.500000,85.750000,85.500000,85.750000,83.432434,50
2015-05-15,87.000000,87.000000,87.000000,87.000000,84.648651,1
2015-05-18,87.000000,87.000000,84.250000,84.250000,81.972977,101
2015-05-19,89.900002,89.900002,89.500000,89.500000,87.081085,2
